Starting job mp2mpF-X0.01D0.01-S39113-O0_1781768726 at 1781768737.7936835

   - * - * - * - * - * - * - * -     
        Version information          
  Full SHA: 026401b
  Git  SHA: f47f986
  Git branch: HEAD
   - * - * - * - * - * - * - * -     
 Welcome to Mary's McMule userfile <3
 Big Q2 range [1.e-3;4.e-2] GeV²
  * 0.3 < th_mu < 2.mrad
 No bands but cuts on x5 and y5
  * Emu > 70 GeV
  * -12. < th_ph < 12. mrad
  * Eph > 200 MeV
  * d_detector=30m
                                                            
         *******************************************        
         *              C O L L I E R              *        
         *                                         *        
         *        Complex One-Loop Library         *        
         *      In Extended Regularizations        *        
         *                                         *        
         *    by A.Denner, S.Dittmaier, L.Hofer    *        
         *                                         *        
         *              version 1.2.7              *        
         *                                         *        
         *******************************************        
                                                            
   - * - * - * - * - * - * - * -     
         
 internal avgi, sd:   -3.1731476066674796E-003   8.1649607598795784E-005
 internal avgi, sd:   -3.0168945216489888E-003   8.1791798009005264E-006
 internal avgi, sd:   -3.0193919635920856E-003   2.9910105985488913E-007
 internal avgi, sd:   -3.0196823644553237E-003   6.7342620918249758E-009
 internal avgi, sd:   -3.0196755780992684E-003   1.8395259635726025E-009
 internal avgi, sd:   -3.0196774087927389E-003   7.0852272172911247E-010
 internal avgi, sd:   -3.0196775165071718E-003   3.6324448143457802E-010
 internal avgi, sd:   -3.0196777807270656E-003   2.5722581062950993E-010
 internal avgi, sd:   -3.0196777531416113E-003   2.2313171216673008E-010
 internal avgi, sd:   -3.0196777367861444E-003   2.2136144171719177E-010
 internal avgi, sd:   -3.0196708413232844E-003   2.0753936702104719E-010
 internal avgi, sd:   -3.0178429955729060E-003   1.7534755388267877E-010
 internal avgi, sd:   -3.0178429955752331E-003   1.7534755387233237E-010
 internal avgi, sd:   -3.0178429955666788E-003   1.7534755369147548E-010
 internal avgi, sd:   -3.0178429969802694E-003   1.7534748919574393E-010
 internal avgi, sd:   -3.0196750013408097E-003   8.2310157988356683E-009
 internal avgi, sd:   -3.0196785040227494E-003   1.5364017267314877E-009
 internal avgi, sd:   -3.0196778806990702E-003   3.9857911810946278E-010
 internal avgi, sd:   -3.0196778979588723E-003   1.7725640077351097E-010
 internal avgi, sd:   -3.0196775958239372E-003   1.1607881881066366E-010
 internal avgi, sd:   -3.0196776935685131E-003   9.1403420420718741E-011
 internal avgi, sd:   -3.0196695495618153E-003   8.8755840451066320E-011
 internal avgi, sd:   -3.0196695495617295E-003   8.8755840446108484E-011
 internal avgi, sd:   -3.0196695495629767E-003   8.8755840397842224E-011
 internal avgi, sd:   -3.0196695495271868E-003   8.8755813515118900E-011
 internal avgi, sd:   -3.0196695521070445E-003   8.8750333752615666E-011
 internal avgi, sd:   -3.0196696573090960E-003   8.8212246017714398E-011
 internal avgi, sd:   -3.0196696576522400E-003   8.8212083404416866E-011
