x_grid,mc_smooth,theory,diff,rel_diff
9.999990887501384318e-01,nan,1.496082423627926223e+07,nan,nan
9.999990879383346964e-01,nan,1.493332659029703960e+07,nan,nan
9.999990871261694725e-01,nan,1.490589092060225084e+07,nan,nan
9.999990863136428709e-01,nan,1.487851706451970711e+07,nan,nan
9.999990855007548918e-01,nan,1.485120485242663696e+07,nan,nan
9.999990846875053130e-01,nan,1.482395411525812373e+07,nan,nan
9.999990838738943566e-01,nan,1.479676469558522291e+07,nan,nan
9.999990830599220226e-01,nan,1.476963642536272109e+07,nan,nan
9.999990822455882000e-01,nan,1.474256914077084512e+07,nan,nan
9.999990814308928888e-01,nan,1.471556267850016803e+07,nan,nan
9.999990806158362000e-01,nan,1.468861687574972212e+07,nan,nan
9.999990798004180226e-01,nan,1.466173157022517920e+07,nan,nan
9.999990789846384676e-01,nan,1.463490660377134755e+07,nan,nan
9.999990781684974239e-01,nan,1.460814180782355554e+07,nan,nan
9.999990773519948917e-01,nan,1.458143702524071746e+07,nan,nan
9.999990765351309818e-01,nan,1.455479209934238158e+07,nan,nan
9.999990757179055834e-01,nan,1.452820686671623029e+07,nan,nan
9.999990749003186963e-01,nan,1.450168116448468156e+07,nan,nan
9.999990740823704316e-01,nan,1.447521484103137814e+07,nan,nan
9.999990732640607893e-01,nan,1.444880773802238517e+07,nan,nan
9.999990724453895474e-01,nan,1.442245968694346026e+07,nan,nan
9.999990716263570389e-01,nan,1.439617054471666552e+07,nan,nan
9.999990708069629308e-01,nan,1.436994014383262768e+07,nan,nan
9.999990699872074451e-01,nan,1.434376833149585128e+07,nan,nan
9.999990691670904708e-01,nan,1.431765495183760859e+07,nan,nan
9.999990683466121189e-01,nan,1.429159984947124682e+07,nan,nan
9.999990675257722783e-01,nan,1.426560286949054897e+07,nan,nan
9.999990667045710602e-01,nan,1.423966386095913127e+07,nan,nan
9.999990658830083534e-01,nan,1.421378266641682200e+07,nan,nan
9.999990650610841580e-01,nan,1.418795912891614065e+07,nan,nan
9.999990642387985851e-01,nan,1.416219310241001286e+07,nan,nan
9.999990634161515235e-01,nan,1.413648443088732474e+07,nan,nan
9.999990625931430843e-01,nan,1.411083296228912845e+07,nan,nan
9.999990617697731565e-01,nan,1.408523854502518661e+07,nan,nan
9.999990609460417401e-01,nan,1.405970102797229216e+07,nan,nan
9.999990601219489461e-01,nan,1.403422026047263108e+07,nan,nan
9.999990592974946635e-01,nan,1.400879609233219363e+07,nan,nan
9.999990584726790033e-01,nan,1.398342837721837685e+07,nan,nan
9.999990576475018544e-01,nan,1.395811695905226842e+07,nan,nan
9.999990568219632170e-01,nan,1.393286169242975861e+07,nan,nan
9.999990559960632019e-01,nan,1.390766243236794509e+07,nan,nan
9.999990551698016983e-01,nan,1.388251902421395667e+07,nan,nan
9.999990543431788170e-01,nan,1.385743133061240613e+07,nan,nan
9.999990535161944472e-01,nan,1.383239919448065758e+07,nan,nan
9.999990526888485887e-01,nan,1.380742247264020331e+07,nan,nan
9.999990518611413526e-01,nan,1.378250101899853162e+07,nan,nan
9.999990510330726279e-01,nan,1.375763468459196948e+07,nan,nan
9.999990502046425256e-01,nan,1.373282333417899162e+07,nan,nan
9.999990493758509347e-01,nan,1.370806681304877810e+07,nan,nan
9.999990485466978551e-01,nan,1.368336498020959273e+07,nan,nan
9.999990477171833980e-01,nan,1.365871769179220870e+07,nan,nan
9.999990468873074523e-01,nan,1.363412480764283054e+07,nan,nan
9.999990460570701289e-01,nan,1.360958618147808872e+07,nan,nan
9.999990452264713170e-01,nan,1.358510166748621128e+07,nan,nan
9.999990443955110164e-01,nan,1.356067112682424299e+07,nan,nan
9.999990435641893383e-01,nan,1.353629442104863189e+07,nan,nan
9.999990427325061715e-01,nan,1.351197140564934537e+07,nan,nan
9.999990419004616271e-01,nan,1.348770193980532512e+07,nan,nan
9.999990410680555941e-01,nan,1.346348588312488608e+07,nan,nan
9.999990402352880725e-01,nan,1.343932309564425051e+07,nan,nan
9.999990394021591733e-01,nan,1.341521343782603741e+07,nan,nan
9.999990385686688965e-01,nan,1.339115677374787070e+07,nan,nan
9.999990377348170201e-01,nan,1.336715295833223872e+07,nan,nan
9.999990369006037660e-01,nan,1.334320185651060753e+07,nan,nan
9.999990360660291344e-01,nan,1.331930333676644601e+07,nan,nan
9.999990352310929032e-01,nan,1.329545724899577908e+07,nan,nan
9.999990343957954053e-01,nan,1.327166346568376943e+07,nan,nan
9.999990335601363078e-01,nan,1.324792184393174760e+07,nan,nan
9.999990327241158328e-01,nan,1.322423225384927914e+07,nan,nan
9.999990318877339801e-01,nan,1.320059455652238987e+07,nan,nan
9.999990310509906388e-01,nan,1.317700861659733579e+07,nan,nan
9.999990302138858089e-01,nan,1.315347429913078062e+07,nan,nan
9.999990293764196014e-01,nan,1.312999147268758342e+07,nan,nan
9.999990285385919053e-01,nan,1.310655999693451822e+07,nan,nan
9.999990277004027206e-01,nan,1.308317974125836045e+07,nan,nan
9.999990268618521583e-01,nan,1.305985057234332711e+07,nan,nan
9.999990260229401073e-01,nan,1.303657235727702640e+07,nan,nan
9.999990251836666788e-01,nan,1.301334496660797112e+07,nan,nan
9.999990243440317617e-01,nan,1.299016826515146159e+07,nan,nan
9.999990235040354669e-01,nan,1.296704212119699456e+07,nan,nan
9.999990226636775725e-01,nan,1.294396640039692819e+07,nan,nan
9.999990218229584116e-01,nan,1.292094097791294381e+07,nan,nan
9.999990209818776510e-01,nan,1.289796571716187522e+07,nan,nan
9.999990201404355128e-01,nan,1.287504049406264909e+07,nan,nan
9.999990192986319970e-01,nan,1.285216517885670066e+07,nan,nan
9.999990184564669926e-01,nan,1.282933963918102160e+07,nan,nan
9.999990176139404996e-01,nan,1.280656374309363030e+07,nan,nan
9.999990167710526290e-01,nan,1.278383736801227741e+07,nan,nan
9.999990159278032698e-01,nan,1.276116037979018874e+07,nan,nan
9.999990150841924219e-01,nan,1.273853265362215228e+07,nan,nan
9.999990142402201965e-01,nan,1.271595406505637616e+07,nan,nan
