costh3_lab bin center    K_costh3    Error 
-inf   0.000000e+00   0.000000e+00
 9.999980e-01   1.610059e-02   6.669536e-04
 9.999980e-01   1.748108e-02   6.865484e-04
 9.999981e-01   1.514750e-02   8.548264e-04
 9.999981e-01   1.557806e-02   5.373562e-04
 9.999981e-01   1.493525e-02   5.570263e-04
 9.999981e-01   1.614428e-02   5.550256e-04
 9.999982e-01   1.487152e-02   5.396652e-04
 9.999982e-01   1.582119e-02   4.367979e-04
 9.999982e-01   1.588444e-02   4.705197e-04
 9.999982e-01   1.488538e-02   4.221058e-04
 9.999983e-01   1.557282e-02   3.889710e-04
 9.999983e-01   1.507177e-02   4.825072e-04
 9.999983e-01   1.500640e-02   6.258337e-04
 9.999983e-01   1.614260e-02   5.702364e-04
 9.999984e-01   1.572336e-02   4.286116e-04
 9.999984e-01   1.533577e-02   3.692976e-04
 9.999984e-01   1.493544e-02   2.915024e-04
 9.999984e-01   1.479122e-02   3.300225e-04
 9.999985e-01   1.474569e-02   3.439413e-04
 9.999985e-01   1.421379e-02   4.723561e-04
 9.999985e-01   1.615137e-02   3.682518e-04
 9.999985e-01   1.475913e-02   3.598733e-04
 9.999986e-01   1.514471e-02   3.126805e-04
 9.999986e-01   1.519094e-02   4.281248e-04
 9.999986e-01   1.506887e-02   2.411000e-04
 9.999986e-01   1.527130e-02   3.008741e-04
 9.999987e-01   1.544094e-02   2.461910e-04
 9.999987e-01   1.497294e-02   4.322891e-04
 9.999987e-01   1.501796e-02   3.865352e-04
 9.999987e-01   1.497669e-02   2.980916e-04
 9.999988e-01   1.524096e-02   2.176211e-04
 9.999988e-01   1.487394e-02   2.261276e-04
 9.999988e-01   1.466510e-02   2.140212e-04
 9.999988e-01   1.523967e-02   1.965035e-04
 9.999989e-01   1.482235e-02   1.684272e-04
 9.999989e-01   1.495869e-02   1.827107e-04
 9.999989e-01   1.476019e-02   1.695221e-04
 9.999989e-01   1.481985e-02   1.247910e-04
 9.999990e-01   1.457199e-02   1.260551e-04
 9.999990e-01   1.486804e-02   1.169764e-04
 inf   1.155076e-02   6.906864e-07
