x5_lab bin center    K_x5    Error 
-inf   1.000000e+00   3.517730e-01
-1.719000e-01   1.000000e+00   2.737180e-01
-1.337000e-01   1.000000e+00   2.164910e-01
-9.550000e-02   1.000000e+00   3.591792e-01
-5.730000e-02   1.000000e+00   1.393665e-01
-1.910000e-02   7.898183e-01   2.896698e-01
 1.910000e-02   1.000000e+00   2.386735e-01
 5.730000e-02   1.000000e+00   2.946878e-01
 9.550000e-02   1.000000e+00   1.079849e-01
 1.337000e-01   1.000000e+00   3.109080e-01
 1.719000e-01   1.000000e+00   2.909045e-01
 inf   1.000000e+00   6.712230e-01
