y5_lab bin center    K_y5    Error 
-inf   1.000000e+00   1.414214e+00
-1.890900e-01   0.000000e+00   0.000000e+00
-1.852700e-01   0.000000e+00   0.000000e+00
-1.814500e-01   0.000000e+00   0.000000e+00
-1.776300e-01   0.000000e+00   0.000000e+00
-1.738100e-01   0.000000e+00   0.000000e+00
-1.699900e-01   2.000000e-01   2.828427e-01
-1.661700e-01   0.000000e+00   0.000000e+00
-1.623500e-01   2.000000e-01   2.828427e-01
-1.585300e-01   0.000000e+00   0.000000e+00
-1.547100e-01   0.000000e+00   0.000000e+00
-1.508900e-01   2.000000e-01   2.828427e-01
-1.470700e-01   0.000000e+00   0.000000e+00
-1.432500e-01   0.000000e+00   0.000000e+00
-1.394300e-01   0.000000e+00   0.000000e+00
-1.356100e-01   0.000000e+00   0.000000e+00
-1.317900e-01   0.000000e+00   0.000000e+00
-1.279700e-01   0.000000e+00   0.000000e+00
-1.241500e-01   0.000000e+00   0.000000e+00
-1.203300e-01   0.000000e+00   0.000000e+00
-1.165100e-01   0.000000e+00   0.000000e+00
-1.126900e-01   0.000000e+00   0.000000e+00
-1.088700e-01   0.000000e+00   0.000000e+00
-1.050500e-01   0.000000e+00   0.000000e+00
-1.012300e-01   0.000000e+00   0.000000e+00
-9.741000e-02   0.000000e+00   0.000000e+00
-9.359000e-02   0.000000e+00   0.000000e+00
-8.977000e-02   0.000000e+00   0.000000e+00
-8.595000e-02   0.000000e+00   0.000000e+00
-8.213000e-02   2.000000e-01   2.828427e-01
-7.831000e-02   0.000000e+00   0.000000e+00
-7.449000e-02   0.000000e+00   0.000000e+00
-7.067000e-02   0.000000e+00   0.000000e+00
-6.685000e-02   0.000000e+00   0.000000e+00
-6.303000e-02   2.000000e-01   2.828427e-01
-5.921000e-02   0.000000e+00   0.000000e+00
-5.539000e-02   0.000000e+00   0.000000e+00
-5.157000e-02   0.000000e+00   0.000000e+00
-4.775000e-02   0.000000e+00   0.000000e+00
-4.393000e-02   2.000000e-01   2.828427e-01
-4.011000e-02   0.000000e+00   0.000000e+00
-3.629000e-02   0.000000e+00   0.000000e+00
-3.247000e-02   0.000000e+00   0.000000e+00
-2.865000e-02   2.000000e-01   2.828427e-01
-2.483000e-02   0.000000e+00   0.000000e+00
-2.101000e-02   0.000000e+00   0.000000e+00
-1.719000e-02   0.000000e+00   0.000000e+00
-1.337000e-02   0.000000e+00   0.000000e+00
-9.550000e-03   0.000000e+00   0.000000e+00
-5.730000e-03   0.000000e+00   0.000000e+00
-1.910000e-03   0.000000e+00   0.000000e+00
 1.910000e-03   0.000000e+00   0.000000e+00
 5.730000e-03   0.000000e+00   0.000000e+00
 9.550000e-03   0.000000e+00   0.000000e+00
 1.337000e-02   0.000000e+00   0.000000e+00
 1.719000e-02   0.000000e+00   0.000000e+00
 2.101000e-02   0.000000e+00   0.000000e+00
 2.483000e-02   0.000000e+00   0.000000e+00
 2.865000e-02   0.000000e+00   0.000000e+00
 3.247000e-02   0.000000e+00   0.000000e+00
 3.629000e-02   0.000000e+00   0.000000e+00
 4.011000e-02   0.000000e+00   0.000000e+00
 4.393000e-02   0.000000e+00   0.000000e+00
 4.775000e-02   2.000000e-01   2.828427e-01
 5.157000e-02   0.000000e+00   0.000000e+00
 5.539000e-02   0.000000e+00   0.000000e+00
 5.921000e-02   0.000000e+00   0.000000e+00
 6.303000e-02   0.000000e+00   0.000000e+00
 6.685000e-02   0.000000e+00   0.000000e+00
 7.067000e-02   0.000000e+00   0.000000e+00
 7.449000e-02   0.000000e+00   0.000000e+00
 7.831000e-02   0.000000e+00   0.000000e+00
 8.213000e-02   2.000000e-01   2.828427e-01
 8.595000e-02   0.000000e+00   0.000000e+00
 8.977000e-02   0.000000e+00   0.000000e+00
 9.359000e-02   0.000000e+00   0.000000e+00
 9.741000e-02   0.000000e+00   0.000000e+00
 1.012300e-01   0.000000e+00   0.000000e+00
 1.050500e-01   0.000000e+00   0.000000e+00
 1.088700e-01   0.000000e+00   0.000000e+00
 1.126900e-01   0.000000e+00   0.000000e+00
 1.165100e-01   0.000000e+00   0.000000e+00
 1.203300e-01   0.000000e+00   0.000000e+00
 1.241500e-01   0.000000e+00   0.000000e+00
 1.279700e-01   0.000000e+00   0.000000e+00
 1.317900e-01   0.000000e+00   0.000000e+00
 1.356100e-01   0.000000e+00   0.000000e+00
 1.394300e-01   0.000000e+00   0.000000e+00
 1.432500e-01   0.000000e+00   0.000000e+00
 1.470700e-01   0.000000e+00   0.000000e+00
 1.508900e-01   0.000000e+00   0.000000e+00
 1.547100e-01   0.000000e+00   0.000000e+00
 1.585300e-01   0.000000e+00   0.000000e+00
 1.623500e-01   0.000000e+00   0.000000e+00
 1.661700e-01   2.000000e-01   2.828427e-01
 1.699900e-01   0.000000e+00   0.000000e+00
 1.738100e-01   0.000000e+00   0.000000e+00
 1.776300e-01   0.000000e+00   0.000000e+00
 1.814500e-01   0.000000e+00   0.000000e+00
 1.852700e-01   0.000000e+00   0.000000e+00
 1.890900e-01   0.000000e+00   0.000000e+00
 inf   1.000000e+00   1.414214e+00
