Emu_lab bin center    K_Emu    Error 
-inf   1.000000e+00   6.067400e-01
 9.503000e+01   6.000000e-01   4.426410e-01
 9.509000e+01   0.000000e+00   0.000000e+00
 9.515000e+01   4.000000e-01   3.694721e-01
 9.521000e+01   6.000000e-01   4.515937e-01
 9.527000e+01   0.000000e+00   0.000000e+00
 9.533000e+01   2.000000e-01   2.828427e-01
 9.539000e+01   6.000000e-01   4.898979e-01
 9.545000e+01   2.000000e-01   2.828427e-01
 9.551000e+01   8.000000e-01   5.604990e-01
 9.557000e+01   6.000000e-01   4.853888e-01
 9.563000e+01   8.000000e-01   5.570210e-01
 9.569000e+01   6.000000e-01   4.898979e-01
 9.575000e+01   6.000000e-01   4.540273e-01
 9.581000e+01   4.000000e-01   3.476087e-01
 9.587000e+01   1.000000e+00   6.220681e-01
 9.593000e+01   1.000000e+00   6.324555e-01
 9.599000e+01   0.000000e+00   0.000000e+00
 9.605000e+01   8.000000e-01   5.656854e-01
 9.611000e+01   4.000000e-01   4.000000e-01
 9.617000e+01   6.000000e-01   4.898979e-01
 9.623000e+01   8.000000e-01   5.437198e-01
 9.629000e+01   2.000000e-01   2.828427e-01
 9.635000e+01   6.000000e-01   4.434812e-01
 9.641000e+01   8.000000e-01   5.028957e-01
 9.647000e+01   8.000000e-01   5.528263e-01
 9.653000e+01   1.000000e+00   5.945268e-01
 9.659000e+01   1.000000e+00   6.324555e-01
 9.665000e+01   1.000000e+00   6.320681e-01
 9.671000e+01   8.000000e-01   5.519705e-01
 9.677000e+01   8.000000e-01   4.942667e-01
 9.683000e+01   8.000000e-01   4.598846e-01
 9.689000e+01   6.000000e-01   4.898979e-01
 9.695000e+01   1.000000e+00   5.940566e-01
 9.701000e+01   6.000000e-01   4.472233e-01
 9.707000e+01   6.000000e-01   4.898979e-01
 9.713000e+01   6.000000e-01   4.898979e-01
 9.719000e+01   1.000000e+00   5.230091e-01
 9.725000e+01   4.000000e-01   2.485536e-01
 9.731000e+01   6.000000e-01   4.545353e-01
 9.737000e+01   8.000000e-01   5.656854e-01
 9.743000e+01   6.000000e-01   4.672048e-01
 9.749000e+01   8.000000e-01   5.037163e-01
 9.755000e+01   6.000000e-01   4.689826e-01
 9.761000e+01   1.000000e+00   5.979312e-01
 9.767000e+01   6.000000e-01   4.898979e-01
 9.773000e+01   4.000000e-01   3.840437e-01
 9.779000e+01   8.000000e-01   5.264314e-01
 9.785000e+01   8.000000e-01   5.213962e-01
 9.791000e+01   6.000000e-01   4.418037e-01
 9.797000e+01   1.000000e+00   4.993529e-01
 9.803000e+01   4.000000e-01   3.164934e-01
 9.809000e+01   8.000000e-01   5.532621e-01
 9.815000e+01   6.000000e-01   4.620049e-01
 9.821000e+01   1.000000e+00   5.799388e-01
 9.827000e+01   8.000000e-01   4.819795e-01
 9.833000e+01   8.000000e-01   5.125171e-01
 9.839000e+01   1.000000e+00   5.934504e-01
 9.845000e+01   8.000000e-01   5.598535e-01
 9.851000e+01   1.000000e+00   5.514902e-01
 9.857000e+01   1.000000e+00   6.189763e-01
 9.863000e+01   1.000000e+00   5.473544e-01
 9.869000e+01   1.000000e+00   5.361609e-01
 9.875000e+01   1.000000e+00   4.805266e-01
 9.881000e+01   1.000000e+00   5.295390e-01
 9.887000e+01   1.000000e+00   4.576763e-01
 9.893000e+01   1.000000e+00   5.444386e-01
 9.899000e+01   1.000000e+00   4.829454e-01
 9.905000e+01   1.000000e+00   5.495969e-01
 9.911000e+01   1.000000e+00   4.715469e-01
 9.917000e+01   1.000000e+00   5.082807e-01
 9.923000e+01   1.000000e+00   5.085355e-01
 9.929000e+01   1.000000e+00   5.197339e-01
 9.935000e+01   1.000000e+00   4.463977e-01
 9.941000e+01   1.000000e+00   5.294688e-01
 9.947000e+01   1.000000e+00   5.147573e-01
 9.953000e+01   1.000000e+00   4.977223e-01
 9.959000e+01   1.000000e+00   3.819880e-01
 9.965000e+01   1.000000e+00   4.422343e-01
 9.971000e+01   1.000000e+00   4.119144e-01
 9.977000e+01   1.000000e+00   3.571027e-01
 9.983000e+01   1.000000e+00   4.115624e-01
 9.989000e+01   1.000000e+00   2.904924e-01
 9.995000e+01   1.000000e+00   3.036224e-01
 1.000100e+02   1.144766e-03   4.852137e-04
 1.000700e+02   0.000000e+00   0.000000e+00
 1.001300e+02   0.000000e+00   0.000000e+00
 1.001900e+02   0.000000e+00   0.000000e+00
 1.002500e+02   0.000000e+00   0.000000e+00
 1.003100e+02   0.000000e+00   0.000000e+00
 1.003700e+02   0.000000e+00   0.000000e+00
 1.004300e+02   0.000000e+00   0.000000e+00
 1.004900e+02   0.000000e+00   0.000000e+00
 1.005500e+02   0.000000e+00   0.000000e+00
 1.006100e+02   0.000000e+00   0.000000e+00
 1.006700e+02   0.000000e+00   0.000000e+00
 1.007300e+02   0.000000e+00   0.000000e+00
 1.007900e+02   0.000000e+00   0.000000e+00
 1.008500e+02   0.000000e+00   0.000000e+00
 1.009100e+02   0.000000e+00   0.000000e+00
 1.009700e+02   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
