costh3_lab bin centers    value    Error 
 9.999983e-01   3.768093e+06   1.658965e+04
 9.999983e-01   3.800412e+06   1.687871e+04
 9.999983e-01   3.766299e+06   1.406239e+04
 9.999983e-01   3.773701e+06   1.472045e+04
 9.999983e-01   3.754433e+06   1.293267e+04
 9.999983e-01   3.823304e+06   8.049948e+03
 9.999983e-01   3.793600e+06   1.064925e+04
 9.999983e-01   3.807648e+06   1.375453e+04
 9.999983e-01   3.814798e+06   1.397056e+04
 9.999983e-01   3.870648e+06   1.560567e+04
 9.999983e-01   3.862834e+06   1.160089e+04
 9.999983e-01   3.858799e+06   1.703100e+04
 9.999983e-01   3.847540e+06   8.845651e+03
 9.999983e-01   3.866314e+06   1.140195e+04
 9.999983e-01   3.893975e+06   1.316343e+04
 9.999983e-01   3.908068e+06   1.326893e+04
 9.999983e-01   3.899841e+06   1.103677e+04
 9.999983e-01   3.938111e+06   1.156785e+04
 9.999983e-01   3.908006e+06   1.421569e+04
 9.999983e-01   3.957164e+06   1.303142e+04
 9.999983e-01   3.931477e+06   1.329625e+04
 9.999983e-01   3.957789e+06   1.189769e+04
 9.999983e-01   3.969397e+06   1.213042e+04
 9.999983e-01   3.962467e+06   6.925922e+03
 9.999983e-01   3.986977e+06   1.743128e+04
 9.999983e-01   3.991039e+06   1.194271e+04
 9.999983e-01   4.003895e+06   1.128609e+04
 9.999983e-01   4.022507e+06   1.204054e+04
 9.999983e-01   4.019984e+06   1.346160e+04
 9.999983e-01   4.041530e+06   1.074610e+04
 9.999983e-01   4.027147e+06   1.234488e+04
 9.999983e-01   4.027818e+06   1.351484e+04
 9.999983e-01   4.069457e+06   1.419139e+04
 9.999983e-01   4.075549e+06   1.583832e+04
 9.999983e-01   4.102145e+06   1.593641e+04
 9.999983e-01   4.086994e+06   1.462043e+04
 9.999983e-01   4.086362e+06   1.126158e+04
 9.999983e-01   4.149191e+06   1.479795e+04
 9.999983e-01   4.126672e+06   1.803803e+04
 9.999983e-01   4.147956e+06   1.256388e+04
 9.999983e-01   4.127374e+06   1.541806e+04
 9.999983e-01   4.167639e+06   1.786256e+04
 9.999983e-01   4.151489e+06   1.306386e+04
 9.999983e-01   4.179501e+06   1.301001e+04
 9.999983e-01   4.169528e+06   1.499547e+04
 9.999983e-01   4.202661e+06   1.456621e+04
 9.999983e-01   4.234270e+06   2.211516e+04
 9.999983e-01   4.240314e+06   1.542919e+04
 9.999983e-01   4.225025e+06   1.496699e+04
 9.999984e-01   4.242508e+06   1.228053e+04
 9.999984e-01   4.246435e+06   1.367009e+04
 9.999984e-01   4.271254e+06   9.667081e+03
 9.999984e-01   4.280103e+06   1.406630e+04
 9.999984e-01   4.283605e+06   1.646591e+04
 9.999984e-01   4.310002e+06   1.912868e+04
 9.999984e-01   4.295066e+06   1.362683e+04
 9.999984e-01   4.361226e+06   1.441702e+04
 9.999984e-01   4.348353e+06   1.480958e+04
 9.999984e-01   4.341643e+06   1.449571e+04
 9.999984e-01   4.379318e+06   1.802919e+04
 9.999984e-01   4.374624e+06   1.202918e+04
 9.999984e-01   4.369629e+06   1.435008e+04
 9.999984e-01   4.382598e+06   1.455237e+04
 9.999984e-01   4.437966e+06   9.394532e+03
 9.999984e-01   4.428898e+06   1.395643e+04
 9.999984e-01   4.383694e+06   1.692281e+04
 9.999984e-01   4.445554e+06   1.870186e+04
 9.999984e-01   4.412225e+06   1.500419e+04
 9.999984e-01   4.499222e+06   2.110378e+04
 9.999984e-01   4.469533e+06   2.091930e+04
 9.999984e-01   4.476536e+06   1.438909e+04
 9.999984e-01   4.510266e+06   1.181601e+04
 9.999984e-01   4.533986e+06   1.564375e+04
 9.999984e-01   4.572015e+06   1.774893e+04
 9.999984e-01   4.511857e+06   1.741054e+04
 9.999984e-01   4.522993e+06   1.928449e+04
 9.999984e-01   4.534598e+06   1.636080e+04
 9.999984e-01   4.584682e+06   1.728960e+04
 9.999984e-01   4.600197e+06   1.759563e+04
 9.999984e-01   4.598242e+06   1.384976e+04
 9.999984e-01   4.583791e+06   1.740774e+04
 9.999984e-01   4.654562e+06   1.575000e+04
 9.999984e-01   4.648887e+06   1.504115e+04
 9.999984e-01   4.687866e+06   1.487192e+04
 9.999984e-01   4.624465e+06   1.840800e+04
 9.999984e-01   4.654785e+06   1.682168e+04
 9.999984e-01   4.686633e+06   1.549792e+04
 9.999984e-01   4.704911e+06   1.366758e+04
 9.999984e-01   4.685087e+06   1.414860e+04
 9.999984e-01   4.714208e+06   1.753765e+04
 9.999984e-01   4.745497e+06   1.681798e+04
 9.999984e-01   4.740514e+06   2.143646e+04
 9.999984e-01   4.725269e+06   2.206809e+04
 9.999984e-01   4.772309e+06   1.323083e+04
 9.999984e-01   4.813617e+06   2.085808e+04
 9.999984e-01   4.790897e+06   1.722600e+04
 9.999984e-01   4.803164e+06   2.300952e+04
 9.999984e-01   4.778509e+06   1.664648e+04
 9.999984e-01   4.872173e+06   1.872811e+04
 9.999985e-01   4.835707e+06   1.675161e+04
 9.999985e-01   4.880791e+06   1.694137e+04
 9.999985e-01   4.899828e+06   1.755569e+04
 9.999985e-01   4.905644e+06   2.382826e+04
 9.999985e-01   4.912333e+06   2.326251e+04
 9.999985e-01   4.902028e+06   1.803076e+04
 9.999985e-01   4.927406e+06   2.036437e+04
 9.999985e-01   4.945954e+06   2.006227e+04
 9.999985e-01   4.944728e+06   2.103333e+04
 9.999985e-01   4.971172e+06   2.075530e+04
 9.999985e-01   4.967452e+06   1.655740e+04
 9.999985e-01   4.958319e+06   1.785522e+04
 9.999985e-01   5.009619e+06   2.213892e+04
 9.999985e-01   5.020672e+06   2.349583e+04
 9.999985e-01   5.012696e+06   2.122135e+04
 9.999985e-01   5.039337e+06   1.842939e+04
 9.999985e-01   5.096811e+06   1.842972e+04
 9.999985e-01   5.102275e+06   1.722459e+04
 9.999985e-01   5.113071e+06   1.492121e+04
 9.999985e-01   5.092052e+06   1.679314e+04
 9.999985e-01   5.085035e+06   2.418401e+04
 9.999985e-01   5.166107e+06   1.898563e+04
 9.999985e-01   5.145287e+06   2.345277e+04
 9.999985e-01   5.172308e+06   1.792112e+04
 9.999985e-01   5.173965e+06   1.966179e+04
 9.999985e-01   5.216740e+06   2.101134e+04
 9.999985e-01   5.192229e+06   2.060801e+04
 9.999985e-01   5.235191e+06   2.370291e+04
 9.999985e-01   5.284605e+06   2.103081e+04
 9.999985e-01   5.208603e+06   1.914282e+04
 9.999985e-01   5.250448e+06   1.972394e+04
 9.999985e-01   5.278224e+06   1.731557e+04
 9.999985e-01   5.293841e+06   1.818251e+04
 9.999985e-01   5.322379e+06   1.112109e+04
 9.999985e-01   5.375999e+06   1.679664e+04
 9.999985e-01   5.330243e+06   2.170613e+04
 9.999985e-01   5.358575e+06   2.565614e+04
 9.999985e-01   5.369532e+06   2.054799e+04
 9.999985e-01   5.423086e+06   1.986733e+04
 9.999985e-01   5.381966e+06   2.351690e+04
 9.999985e-01   5.380700e+06   2.053293e+04
 9.999985e-01   5.435774e+06   2.147458e+04
 9.999985e-01   5.455179e+06   2.166277e+04
 9.999985e-01   5.492423e+06   2.105950e+04
 9.999985e-01   5.490416e+06   1.726909e+04
 9.999985e-01   5.470879e+06   2.697371e+04
 9.999985e-01   5.506221e+06   2.069841e+04
 9.999985e-01   5.553415e+06   2.340722e+04
 9.999985e-01   5.566735e+06   2.096066e+04
 9.999985e-01   5.537136e+06   2.282575e+04
 9.999986e-01   5.552853e+06   2.444696e+04
 9.999986e-01   5.582216e+06   2.070199e+04
 9.999986e-01   5.587825e+06   1.901735e+04
 9.999986e-01   5.652955e+06   1.640882e+04
 9.999986e-01   5.674829e+06   2.420222e+04
 9.999986e-01   5.620000e+06   2.901929e+04
 9.999986e-01   5.688993e+06   3.071606e+04
 9.999986e-01   5.708510e+06   2.520287e+04
 9.999986e-01   5.694746e+06   1.764543e+04
 9.999986e-01   5.774903e+06   2.350255e+04
 9.999986e-01   5.728300e+06   2.245401e+04
 9.999986e-01   5.752076e+06   2.135929e+04
 9.999986e-01   5.728958e+06   2.268528e+04
 9.999986e-01   5.820767e+06   2.137218e+04
 9.999986e-01   5.856763e+06   1.661429e+04
 9.999986e-01   5.826956e+06   2.553398e+04
 9.999986e-01   5.860700e+06   2.722482e+04
 9.999986e-01   5.834261e+06   2.025799e+04
 9.999986e-01   5.891906e+06   1.900972e+04
 9.999986e-01   5.902471e+06   1.626791e+04
 9.999986e-01   5.905930e+06   2.367456e+04
 9.999986e-01   5.908667e+06   2.682378e+04
 9.999986e-01   6.014289e+06   1.607452e+04
 9.999986e-01   5.992175e+06   1.712192e+04
 9.999986e-01   5.991599e+06   3.001580e+04
 9.999986e-01   5.974004e+06   2.290262e+04
 9.999986e-01   6.003374e+06   2.086956e+04
 9.999986e-01   6.045093e+06   1.763665e+04
 9.999986e-01   6.070076e+06   2.533325e+04
 9.999986e-01   6.094862e+06   2.467216e+04
 9.999986e-01   6.118499e+06   2.581078e+04
 9.999986e-01   6.108737e+06   2.108203e+04
 9.999986e-01   6.141190e+06   2.581612e+04
 9.999986e-01   6.166308e+06   2.323734e+04
 9.999986e-01   6.133379e+06   2.424121e+04
 9.999986e-01   6.214727e+06   2.644023e+04
 9.999986e-01   6.199321e+06   2.424285e+04
 9.999986e-01   6.209161e+06   2.612598e+04
 9.999986e-01   6.226523e+06   3.008301e+04
 9.999986e-01   6.308448e+06   2.667645e+04
 9.999986e-01   6.285908e+06   2.733395e+04
 9.999986e-01   6.293426e+06   2.752539e+04
 9.999986e-01   6.295461e+06   2.341909e+04
 9.999986e-01   6.348144e+06   2.200922e+04
 9.999986e-01   6.361416e+06   1.788913e+04
 9.999986e-01   6.330811e+06   2.363867e+04
 9.999986e-01   6.460096e+06   1.956220e+04
 9.999986e-01   6.384185e+06   2.902469e+04
 9.999986e-01   6.418052e+06   2.749535e+04
 9.999986e-01   6.519514e+06   2.707915e+04
 9.999987e-01   6.466856e+06   2.704149e+04
 9.999987e-01   6.569801e+06   2.269223e+04
 9.999987e-01   6.509559e+06   2.905046e+04
 9.999987e-01   6.466045e+06   2.233349e+04
 9.999987e-01   6.589027e+06   2.593548e+04
 9.999987e-01   6.606974e+06   3.309266e+04
 9.999987e-01   6.604333e+06   2.502237e+04
 9.999987e-01   6.635990e+06   2.696223e+04
 9.999987e-01   6.576421e+06   2.956521e+04
 9.999987e-01   6.668822e+06   2.651412e+04
 9.999987e-01   6.714310e+06   3.052695e+04
 9.999987e-01   6.703855e+06   2.529132e+04
 9.999987e-01   6.710763e+06   3.421731e+04
 9.999987e-01   6.742092e+06   2.721980e+04
 9.999987e-01   6.758573e+06   3.390951e+04
 9.999987e-01   6.804697e+06   3.590328e+04
 9.999987e-01   6.767719e+06   2.806540e+04
 9.999987e-01   6.817271e+06   2.817451e+04
 9.999987e-01   6.899528e+06   3.343139e+04
 9.999987e-01   6.931733e+06   2.896062e+04
 9.999987e-01   6.941899e+06   2.969063e+04
 9.999987e-01   6.961748e+06   3.394551e+04
 9.999987e-01   6.936256e+06   2.632241e+04
 9.999987e-01   6.972797e+06   2.574307e+04
 9.999987e-01   6.952819e+06   3.581569e+04
 9.999987e-01   7.015316e+06   2.542807e+04
 9.999987e-01   6.990886e+06   2.745207e+04
 9.999987e-01   7.029593e+06   2.452358e+04
 9.999987e-01   7.090657e+06   3.186509e+04
 9.999987e-01   7.068233e+06   2.605425e+04
 9.999987e-01   7.152295e+06   3.566426e+04
