phi5_lab bin center    K_phi5    Error 
-inf   0.000000e+00   0.000000e+00
-3.063053e+03   1.000000e+00   4.936168e-02
-2.905973e+03   1.000000e+00   3.911436e-02
-2.748894e+03   1.000000e+00   3.682797e-02
-2.591814e+03   1.000000e+00   3.256157e-02
-2.434734e+03   1.000000e+00   2.149782e-02
-2.277655e+03   1.000000e+00   3.844466e-02
-2.120575e+03   1.000000e+00   3.797157e-02
-1.963495e+03   1.000000e+00   3.388363e-02
-1.806416e+03   1.000000e+00   4.426425e-02
-1.649336e+03   1.000000e+00   2.903380e-02
-1.492257e+03   1.000000e+00   3.774718e-02
-1.335177e+03   1.000000e+00   3.823501e-02
-1.178097e+03   1.000000e+00   4.181058e-02
-1.021018e+03   1.000000e+00   3.059937e-02
-8.639380e+02   1.000000e+00   4.838536e-02
-7.068583e+02   1.000000e+00   2.501280e-02
-5.497787e+02   1.000000e+00   3.595324e-02
-3.926991e+02   1.000000e+00   3.927085e-02
-2.356194e+02   1.000000e+00   5.333753e-02
-7.853982e+01   7.939449e-01   3.000058e-02
 7.853982e+01   1.000000e+00   3.417482e-02
 2.356194e+02   1.000000e+00   3.221866e-02
 3.926991e+02   1.000000e+00   2.890839e-02
 5.497787e+02   1.000000e+00   3.389869e-02
 7.068583e+02   1.000000e+00   2.227686e-02
 8.639380e+02   1.000000e+00   2.662869e-02
 1.021018e+03   1.000000e+00   3.541100e-02
 1.178097e+03   1.000000e+00   3.880423e-02
 1.335177e+03   1.000000e+00   4.437299e-02
 1.492257e+03   1.000000e+00   3.225152e-02
 1.649336e+03   1.000000e+00   3.213787e-02
 1.806416e+03   1.000000e+00   4.985223e-02
 1.963495e+03   1.000000e+00   4.443982e-02
 2.120575e+03   1.000000e+00   3.506355e-02
 2.277655e+03   1.000000e+00   3.106840e-02
 2.434734e+03   1.000000e+00   3.772754e-02
 2.591814e+03   1.000000e+00   4.054244e-02
 2.748894e+03   1.000000e+00   3.395089e-02
 2.905973e+03   1.000000e+00   3.708031e-02
 3.063053e+03   1.000000e+00   3.441654e-02
 inf   0.000000e+00   0.000000e+00
