phi5_lab bin center    K_phi5    Error 
-inf   0.000000e+00   0.000000e+00
-2.827433e+06   0.000000e+00   0.000000e+00
-2.199115e+06   0.000000e+00   0.000000e+00
-1.570796e+06   0.000000e+00   0.000000e+00
-9.424778e+05   0.000000e+00   0.000000e+00
-3.141593e+05   2.000000e-01   1.549708e-01
 3.141593e+05   2.000000e-01   1.271989e-01
 9.424778e+05   0.000000e+00   0.000000e+00
 1.570796e+06   0.000000e+00   0.000000e+00
 2.199115e+06   0.000000e+00   0.000000e+00
 2.827433e+06   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
