x5_lab bin center    K_x5    Error 
-inf   1.000000e+00   7.897923e-02
-1.890900e-01   1.000000e+00   4.850333e-02
-1.852700e-01   1.000000e+00   3.742388e-02
-1.814500e-01   1.000000e+00   3.870913e-02
-1.776300e-01   1.000000e+00   4.600214e-02
-1.738100e-01   1.000000e+00   4.021325e-02
-1.699900e-01   1.000000e+00   4.245110e-02
-1.661700e-01   1.000000e+00   3.183383e-02
-1.623500e-01   1.000000e+00   3.415557e-02
-1.585300e-01   1.000000e+00   3.925912e-02
-1.547100e-01   1.000000e+00   4.080284e-02
-1.508900e-01   1.000000e+00   3.601169e-02
-1.470700e-01   1.000000e+00   4.017301e-02
-1.432500e-01   1.000000e+00   3.540469e-02
-1.394300e-01   1.000000e+00   3.648649e-02
-1.356100e-01   1.000000e+00   3.859685e-02
-1.317900e-01   1.000000e+00   3.007394e-02
-1.279700e-01   1.000000e+00   3.218119e-02
-1.241500e-01   1.000000e+00   4.382735e-02
-1.203300e-01   1.000000e+00   3.175542e-02
-1.165100e-01   1.000000e+00   2.268568e-02
-1.126900e-01   1.000000e+00   4.134753e-02
-1.088700e-01   1.000000e+00   3.134771e-02
-1.050500e-01   1.000000e+00   2.838110e-02
-1.012300e-01   1.000000e+00   3.314019e-02
-9.741000e-02   1.000000e+00   3.036204e-02
-9.359000e-02   1.000000e+00   4.030661e-02
-8.977000e-02   1.000000e+00   2.896827e-02
-8.595000e-02   1.000000e+00   2.300369e-02
-8.213000e-02   1.000000e+00   3.979826e-02
-7.831000e-02   1.000000e+00   3.179708e-02
-7.449000e-02   1.000000e+00   4.098580e-02
-7.067000e-02   1.000000e+00   2.668499e-02
-6.685000e-02   1.000000e+00   1.935185e-02
-6.303000e-02   1.000000e+00   3.699895e-02
-5.921000e-02   1.000000e+00   3.294234e-02
-5.539000e-02   1.000000e+00   3.263379e-02
-5.157000e-02   1.000000e+00   2.928889e-02
-4.775000e-02   1.000000e+00   2.899525e-02
-4.393000e-02   1.000000e+00   3.348344e-02
-4.011000e-02   1.000000e+00   3.351707e-02
-3.629000e-02   1.000000e+00   3.804627e-02
-3.247000e-02   1.000000e+00   3.332884e-02
-2.865000e-02   1.000000e+00   2.753244e-02
-2.483000e-02   1.000000e+00   3.304205e-02
-2.101000e-02   1.000000e+00   3.262926e-02
-1.719000e-02   1.000000e+00   3.181837e-02
-1.337000e-02   1.000000e+00   3.451885e-02
-9.550000e-03   1.000000e+00   3.017769e-02
-5.730000e-03   1.000000e+00   3.553827e-02
-1.910000e-03   8.008925e-01   2.948732e-02
 1.910000e-03   1.000000e+00   3.482544e-02
 5.730000e-03   1.000000e+00   3.208918e-02
 9.550000e-03   1.000000e+00   3.156406e-02
 1.337000e-02   1.000000e+00   3.034658e-02
 1.719000e-02   1.000000e+00   3.665766e-02
 2.101000e-02   1.000000e+00   4.010828e-02
 2.483000e-02   1.000000e+00   3.433006e-02
 2.865000e-02   1.000000e+00   4.145955e-02
 3.247000e-02   1.000000e+00   3.570278e-02
 3.629000e-02   1.000000e+00   3.577638e-02
 4.011000e-02   1.000000e+00   3.212026e-02
 4.393000e-02   1.000000e+00   2.915404e-02
 4.775000e-02   1.000000e+00   3.476715e-02
 5.157000e-02   1.000000e+00   3.262072e-02
 5.539000e-02   1.000000e+00   3.848947e-02
 5.921000e-02   1.000000e+00   2.760914e-02
 6.303000e-02   1.000000e+00   3.622370e-02
 6.685000e-02   1.000000e+00   2.443011e-02
 7.067000e-02   1.000000e+00   3.651817e-02
 7.449000e-02   1.000000e+00   2.728487e-02
 7.831000e-02   1.000000e+00   3.365299e-02
 8.213000e-02   1.000000e+00   2.350261e-02
 8.595000e-02   1.000000e+00   2.685741e-02
 8.977000e-02   1.000000e+00   3.314787e-02
 9.359000e-02   1.000000e+00   2.756924e-02
 9.741000e-02   1.000000e+00   3.551022e-02
 1.012300e-01   1.000000e+00   3.590941e-02
 1.050500e-01   1.000000e+00   3.361347e-02
 1.088700e-01   1.000000e+00   3.652847e-02
 1.126900e-01   1.000000e+00   2.828474e-02
 1.165100e-01   1.000000e+00   2.380476e-02
 1.203300e-01   1.000000e+00   2.423557e-02
 1.241500e-01   1.000000e+00   3.391534e-02
 1.279700e-01   1.000000e+00   2.984653e-02
 1.317900e-01   1.000000e+00   4.050598e-02
 1.356100e-01   1.000000e+00   3.604738e-02
 1.394300e-01   1.000000e+00   3.840149e-02
 1.432500e-01   1.000000e+00   3.306511e-02
 1.470700e-01   1.000000e+00   4.641675e-02
 1.508900e-01   1.000000e+00   4.232799e-02
 1.547100e-01   1.000000e+00   6.919571e-02
 1.585300e-01   1.000000e+00   3.244118e-02
 1.623500e-01   1.000000e+00   3.470321e-02
 1.661700e-01   1.000000e+00   3.133989e-02
 1.699900e-01   1.000000e+00   3.451461e-02
 1.738100e-01   1.000000e+00   3.908030e-02
 1.776300e-01   1.000000e+00   4.722188e-02
 1.814500e-01   1.000000e+00   4.283881e-02
 1.852700e-01   1.000000e+00   3.826333e-02
 1.890900e-01   1.000000e+00   4.086349e-02
 inf   1.000000e+00   7.196791e-02
