cos_theta,num,num_err,ana,diff,rel_diff_percent
9.999980370000000063e-01,2.373129677289333194e+06,2.321967824422755220e+05,2.989770572619962972e+06,-6.166408953306297772e+05,-2.062502390577287059e+01
9.999980389999999497e-01,2.468624171463503502e+06,2.317476771667787398e+05,2.996297950584657025e+06,-5.276737791211535223e+05,-1.761085805963289985e+01
9.999980410000000042e-01,2.388679252112267073e+06,2.238840332623558643e+05,3.002845840866464656e+06,-6.141665887541975826e+05,-2.045281780356000922e+01
9.999980429999999476e-01,2.407749708930645138e+06,2.134524435074710927e+05,3.009414328054775018e+06,-6.016646191241298802e+05,-1.999274787506690032e+01
9.999980450000000021e-01,2.402715997172801290e+06,1.777764582626503543e+05,3.016003498633175623e+06,-6.132875014603743330e+05,-2.033444264034542570e+01
9.999980469999999455e-01,2.373681231905886903e+06,1.833904782322353567e+05,3.022613436975373887e+06,-6.489322050694869831e+05,-2.146924238247452621e+01
9.999980490000000000e-01,2.204540759063128382e+06,2.055332898734690389e+05,3.029244230820075143e+06,-8.247034717569467612e+05,-2.722472699184388745e+01
9.999980510000000544e-01,2.543486030058090575e+06,1.877489730437738181e+05,3.035895965421420056e+06,-4.924099353633294813e+05,-1.621959187573731143e+01
9.999980529999999979e-01,2.558164948746475857e+06,2.655097230268007261e+05,3.042568729052702431e+06,-4.844037803062265739e+05,-1.592088210467622744e+01
9.999980550000000523e-01,2.833449502759234514e+06,1.831594438782013312e+05,3.049262609339953400e+06,-2.158131065807188861e+05,-7.077550681259101140e+00
9.999980569999999958e-01,2.739224615383037832e+06,2.184549026297130913e+05,3.055977693247281946e+06,-3.167530778642441146e+05,-1.036503239418813571e+01
9.999980590000000502e-01,2.593863434262411669e+06,1.902011994465708267e+05,3.062714070795497391e+06,-4.688506365330857225e+05,-1.530833847677162574e+01
9.999980609999999936e-01,2.908343525390593335e+06,1.871037390451449901e+05,3.069471829113697167e+06,-1.611283037231038325e+05,-5.249382066152705306e+00
9.999980630000000481e-01,2.970030815403728280e+06,2.703892067258124371e+04,3.076251059903344139e+06,-1.062202444996158592e+05,-3.452912081335562267e+00
9.999980649999999915e-01,2.704710334450732451e+06,1.816230410959872243e+05,3.083051851591230370e+06,-3.783415171404979192e+05,-1.227165598740182162e+01
9.999980670000000460e-01,2.560980640310396906e+06,1.665059578502866789e+05,3.089874294944542460e+06,-5.288936546341455542e+05,-1.711699584347130454e+01
9.999980689999999894e-01,2.688820801931497641e+06,1.862531004954220261e+05,3.096718480448408052e+06,-4.078976785169104114e+05,-1.317193284091637473e+01
9.999980710000000439e-01,2.968396002328905277e+06,1.687824695730110980e+05,3.103584500199520495e+06,-1.351884978706152178e+05,-4.355882620947627792e+00
9.999980729999999873e-01,2.982733937691321597e+06,3.111236975408274884e+04,3.110472445636714809e+06,-1.277385079453932121e+05,-4.106723662657140395e+00
9.999980750000000418e-01,2.726620593468143139e+06,2.163006793895816081e+05,3.117382409440677613e+06,-3.907618159725344740e+05,-1.253493362858377047e+01
9.999980769999999852e-01,2.822306333900394849e+06,1.106890304033739376e+05,3.124314483243930619e+06,-3.020081493435357697e+05,-9.666381248214330313e+00
9.999980790000000397e-01,2.990611265223517548e+06,4.015340153722464311e+04,3.131268761463643983e+06,-1.406574962401264347e+05,-4.492028853325868099e+00
9.999980809999999831e-01,3.023382446303407662e+06,3.591111143242273829e+04,3.138245337474933360e+06,-1.148628911715256982e+05,-3.660099157956389959e+00
9.999980830000000376e-01,3.079304645115135703e+06,8.801019178536040272e+03,3.145244305528818630e+06,-6.593966041368292645e+04,-2.096487713141135689e+00
9.999980849999999810e-01,3.106699754085603170e+06,1.182161067372315483e+04,3.152265760372359771e+06,-4.556600628675660118e+04,-1.445500149751781649e+00
9.999980870000000355e-01,3.090921998080350924e+06,6.588102382386533463e+03,3.159309796861363109e+06,-6.838779878101218492e+04,-2.164643646183495029e+00
9.999980889999999789e-01,3.101457098397842608e+06,4.125106524368605278e+03,3.166376511523936875e+06,-6.491941312609426677e+04,-2.050274592734689705e+00
9.999980910000000334e-01,3.119407890118911397e+06,5.700686075233405973e+03,3.173466000617880840e+06,-5.405811049896944314e+04,-1.703440669868346191e+00
9.999980929999999768e-01,3.136475743119241670e+06,1.696803430119187760e+04,3.180578359727116302e+06,-4.410261660787463188e+04,-1.386622545330356227e+00
9.999980950000000313e-01,3.081666838574344292e+06,2.130815898717565506e+04,3.187713687700544018e+06,-1.060468491261997260e+05,-3.326736950541394844e+00
9.999980969999999747e-01,3.127743684432397131e+06,3.537825849134851069e+03,3.194872080351834651e+06,-6.712839591943752021e+04,-2.101129379553907661e+00
9.999980990000000292e-01,3.135542641509003006e+06,6.322597689436872315e+03,3.202053638365887105e+06,-6.651099685688409954e+04,-2.077135625086743875e+00
9.999981009999999726e-01,3.162179774934704416e+06,7.257014695726197715e+03,3.209258458986885380e+06,-4.707868405218096450e+04,-1.466964554392512055e+00
9.999981030000000271e-01,3.139835939614708070e+06,7.575440352425844139e+03,3.216486641966552008e+06,-7.665070235184393823e+04,-2.383056759874491171e+00
9.999981049999999705e-01,3.162033116345866118e+06,8.225316498820489869e+03,3.223738287188217975e+06,-6.170517084235185757e+04,-1.914087476876785265e+00
9.999981070000000249e-01,3.143014638423913624e+06,1.525731127902716980e+04,3.231013494663744699e+06,-8.799885623983107507e+04,-2.723568204997213194e+00
9.999981089999999684e-01,3.179638280911854468e+06,9.262480879702570746e+03,3.238312366148506291e+06,-5.867408523665182292e+04,-1.811872315036611836e+00
9.999981110000000228e-01,3.179970062762332149e+06,1.134278034890341769e+04,3.245635003135224804e+06,-6.566494037289265543e+04,-2.023176984148294721e+00
9.999981129999999663e-01,3.185295069672001991e+06,1.165075879218548471e+04,3.252981506437083706e+06,-6.768643676508171484e+04,-2.080750739933259652e+00
9.999981150000000207e-01,3.186400010433673859e+06,9.599000282877979771e+03,3.260351979847925249e+06,-7.395196941425139084e+04,-2.268220421333183356e+00
9.999981169999999642e-01,3.196328131479892414e+06,9.957675214707403939e+03,3.267746526087086648e+06,-7.141839460719423369e+04,-2.185554908774185456e+00
9.999981190000000186e-01,3.215543934608838521e+06,9.240982435444977455e+03,3.275165248832264915e+06,-5.962131422342639416e+04,-1.820406290787431880e+00
9.999981209999999621e-01,3.236725307506160345e+06,9.866534377669686364e+03,3.282608252317180857e+06,-4.588294481102051213e+04,-1.397758772422262430e+00
9.999981230000000165e-01,3.213582822570865508e+06,1.233594454124938238e+04,3.290075641335161868e+06,-7.649281876429636031e+04,-2.324956235147664696e+00
9.999981249999999600e-01,3.235064185655777343e+06,1.186641495963930720e+04,3.297567520827481989e+06,-6.250333517170464620e+04,-1.895437615058151781e+00
9.999981270000000144e-01,3.240828288186923601e+06,8.829461370566346886e+03,3.305083997963247821e+06,-6.425570977632422000e+04,-1.944147556186822667e+00
9.999981289999999579e-01,3.249419197456293274e+06,1.222910424487974160e+04,3.312625177572581451e+06,-6.320598011628817767e+04,-1.908032956587141671e+00
9.999981310000000123e-01,3.242977334679726977e+06,8.269772876934372107e+03,3.320191168392688502e+06,-7.721383371296152472e+04,-2.325583973839099983e+00
9.999981329999999558e-01,3.252132857831220143e+06,1.449249795049717613e+04,3.327782076394773088e+06,-7.564921856355294585e+04,-2.273262396001279217e+00
9.999981350000000102e-01,3.248441938169600442e+06,1.075757582590007405e+04,3.335398011064418592e+06,-8.695607289481814951e+04,-2.607067360667641776e+00
9.999981369999999536e-01,3.330315583690745756e+06,1.987123815520100470e+04,3.343039080795154907e+06,-1.272349710440915078e+04,-3.805967204362689649e-01
9.999981390000000081e-01,3.277632299558598083e+06,1.253052207817504132e+04,3.350705394989045337e+06,-7.307309543044725433e+04,-2.180827223417717509e+00
9.999981409999999515e-01,3.283623709939398337e+06,9.481792389475747768e+03,3.358397063641155139e+06,-7.477335370175680146e+04,-2.226459596194618751e+00
9.999981430000000060e-01,3.281079546314302366e+06,1.451876456097422670e+04,3.366114197343404870e+06,-8.503465102910250425e+04,-2.526196262034523521e+00
9.999981449999999494e-01,3.305009371778880246e+06,1.201829647159217166e+04,3.373856906859279610e+06,-6.884753508039936423e+04,-2.040618110994205647e+00
9.999981470000000039e-01,3.318266864593804814e+06,1.380622041411204191e+04,3.381625305273544043e+06,-6.335844067973922938e+04,-1.873609136439026157e+00
9.999981489999999473e-01,3.350437408997281455e+06,1.226191170238261657e+04,3.389419503272586968e+06,-3.898209427530551329e+04,-1.150111228122311813e+00
9.999981510000000018e-01,3.315045535918392241e+06,1.475924729159920025e+04,3.397239615600044373e+06,-8.219407968165213242e+04,-2.419437219094551228e+00
9.999981529999999452e-01,3.345750170242107008e+06,1.006408703978562698e+04,3.405085754159955308e+06,-5.933558391784830019e+04,-1.742557697566314623e+00
9.999981549999999997e-01,3.348817795426644851e+06,1.094893513653999980e+04,3.412958034508248325e+06,-6.414023908160347492e+04,-1.879315199105430434e+00
9.999981570000000541e-01,3.343568675834977068e+06,7.296204826620354652e+03,3.420856571529485285e+06,-7.728789569450821728e+04,-2.259314124355478182e+00
9.999981589999999976e-01,3.365009089313971810e+06,1.163102820464951583e+04,3.428781479419225827e+06,-6.377239010525401682e+04,-1.859914097414452794e+00
9.999981610000000520e-01,3.364560941288650036e+06,1.567794620702462453e+04,3.436732876073420979e+06,-7.217193478477094322e+04,-2.100015840254355837e+00
9.999981629999999955e-01,3.383403225922664162e+06,1.487275984200077437e+04,3.444710876510922331e+06,-6.130765058825816959e+04,-1.779761866411135207e+00
9.999981650000000499e-01,3.389045800278615672e+06,1.161479884753858096e+04,3.452715599473970942e+06,-6.366979919535527006e+04,-1.844049918419446765e+00
9.999981669999999934e-01,3.392754374927500263e+06,1.368631542202671153e+04,3.460747162587308325e+06,-6.799278765980806202e+04,-1.964685210027755868e+00
9.999981690000000478e-01,3.410048798568443861e+06,1.549198785642685107e+04,3.468805685012767557e+06,-5.875688644432369620e+04,-1.693865029632163788e+00
9.999981709999999913e-01,3.386926009041271172e+06,2.077477378269445398e+04,3.476891284779442940e+06,-8.996527573817176744e+04,-2.587520528237589712e+00
9.999981730000000457e-01,3.417839248572078999e+06,2.070122978939948371e+04,3.485004083254757337e+06,-6.716483468267833814e+04,-1.927252682583686871e+00
9.999981749999999892e-01,3.427076870294128079e+06,1.304246261106307611e+04,3.493144200230864342e+06,-6.606732993673626333e+04,-1.891342760266519374e+00
9.999981770000000436e-01,3.434260313462631311e+06,1.610205906770085858e+04,3.501311758418410085e+06,-6.705144495577877387e+04,-1.915037836735418830e+00
9.999981789999999870e-01,3.438897603614795487e+06,1.911006077203596942e+04,3.509506878492274322e+06,-7.060927487747883424e+04,-2.011942911700843162e+00
9.999981810000000415e-01,3.444765004403917119e+06,2.431062335169017751e+04,3.517729683152248617e+06,-7.296467874833149835e+04,-2.074198000425877542e+00
9.999981829999999849e-01,3.443597827005028725e+06,1.890654629753740301e+04,3.525980296693089418e+06,-8.238246968806069344e+04,-2.336441578114452966e+00
9.999981850000000394e-01,3.479818188841018826e+06,1.507052006952115698e+04,3.534258842730188742e+06,-5.444065388916991651e+04,-1.540369744031393928e+00
9.999981869999999828e-01,3.455188996247527190e+06,1.607912364527255158e+04,3.542565446022630669e+06,-8.737644977510347962e+04,-2.466473833904868407e+00
9.999981890000000373e-01,3.464685907320088707e+06,1.557927954966732432e+04,3.550900232485544868e+06,-8.621432516545616090e+04,-2.427956842513375957e+00
9.999981909999999807e-01,3.477920879729465116e+06,1.913787388776592343e+04,3.559263326421180740e+06,-8.134244669171562418e+04,-2.285373102009426116e+00
9.999981930000000352e-01,3.492883828645380214e+06,2.037858815128543938e+04,3.567654857461350970e+06,-7.477102881597075611e+04,-2.095803316276391381e+00
9.999981949999999786e-01,3.508916919510540552e+06,1.684495841261561509e+04,3.576074951316537336e+06,-6.715803180599678308e+04,-1.877981662025077325e+00
9.999981970000000331e-01,3.507838187066996470e+06,1.589726654654034610e+04,3.584523736726240721e+06,-7.668554965924425051e+04,-2.139351146528644776e+00
9.999981989999999765e-01,3.517410045421898365e+06,1.123774365134960863e+04,3.593001342683956493e+06,-7.559129726205812767e+04,-2.103848288728769500e+00
9.999982010000000310e-01,3.548469633583735675e+06,1.171227579107284328e+04,3.601507898433988914e+06,-5.303826485025323927e+04,-1.472668291892831549e+00
9.999982029999999744e-01,3.537649126812790520e+06,1.228172683108183628e+04,3.610043535360818729e+06,-7.239440854802820832e+04,-2.005361094372300812e+00
9.999982050000000289e-01,3.556987529263477307e+06,1.091359107134706028e+04,3.618608384644415230e+06,-6.162085538093792275e+04,-1.702888205378243258e+00
9.999982069999999723e-01,3.557027726382275112e+06,9.936228786458628747e+03,3.627202576772664208e+06,-7.017485039038909599e+04,-1.934682414480081158e+00
9.999982090000000268e-01,3.546622334862726275e+06,1.647537352674617796e+04,3.635826246301965788e+06,-8.920391143923951313e+04,-2.453470143958877969e+00
9.999982109999999702e-01,3.547053413271097932e+06,1.961156899311499365e+04,3.644479524244968314e+06,-9.742611097387038171e+04,-2.673251703727277384e+00
9.999982130000000247e-01,3.610178695989909582e+06,2.119361344782137166e+04,3.653162547627808992e+06,-4.298385163789940998e+04,-1.176620286601018917e+00
9.999982149999999681e-01,3.600398918466642033e+06,1.249866249149984651e+04,3.661875449443738908e+06,-6.147653097709687427e+04,-1.678826378063610347e+00
9.999982170000000226e-01,3.597237624610035215e+06,1.302792681014129266e+04,3.670618365844861604e+06,-7.338074123482638970e+04,-1.999138399067439842e+00
9.999982189999999660e-01,3.596818910713202320e+06,1.322506662828024491e+04,3.679391433271012735e+06,-8.257252255781041458e+04,-2.244189672540566782e+00
9.999982210000000205e-01,3.621865346393500455e+06,1.214701936667190603e+04,3.688194788934621494e+06,-6.632944254112103954e+04,-1.798425688906769571e+00
9.999982229999999639e-01,3.623044647297822405e+06,1.686142695302612628e+04,3.697028570336282253e+06,-7.398392303845984861e+04,-2.001172607430790507e+00
9.999982250000000183e-01,3.640974656805684790e+06,1.348352174621924314e+04,3.705892917718368582e+06,-6.491826091268379241e+04,-1.751757602123388935e+00
9.999982269999999618e-01,3.629299820949780755e+06,1.121495968746021936e+04,3.714787968680629507e+06,-8.548814773084875196e+04,-2.301292791179447406e+00
9.999982290000000162e-01,3.654346088614955544e+06,1.534811726113441910e+04,3.723713865547572728e+06,-6.936777693261718377e+04,-1.862865392919137220e+00
9.999982309999999597e-01,3.654823727184761781e+06,1.730692261416509427e+04,3.732670747498348821e+06,-7.784702031358703971e+04,-2.085558185536734666e+00
9.999982330000000141e-01,3.658861108122361358e+06,1.493622326031543889e+04,3.741658757976845372e+06,-8.279764985448401421e+04,-2.212859461808686756e+00
9.999982349999999576e-01,3.687055310081646778e+06,1.750928151294205600e+04,3.750678039257985074e+06,-6.362272917633829638e+04,-1.696299402678804524e+00
9.999982370000000120e-01,3.678815864923716523e+06,1.500125452750585464e+04,3.759728735428918619e+06,-8.091287050520209596e+04,-2.152093307762836805e+00
9.999982389999999555e-01,3.695054441352397669e+06,1.635815613353953268e+04,3.768810989391293377e+06,-7.375654803889570758e+04,-1.957024330657883171e+00
9.999982410000000099e-01,3.722567284181775991e+06,1.800385512778801058e+04,3.777924947883895598e+06,-5.535766370211960748e+04,-1.465292838417203924e+00
9.999982429999999534e-01,3.704258731580294669e+06,1.548149792461929428e+04,3.787070755964342039e+06,-8.281202438404737040e+04,-2.186703912347686352e+00
9.999982450000000078e-01,3.688495983319972642e+06,1.211166626051806452e+04,3.796248562058204319e+06,-1.077525787382316776e+05,-2.838396300367952652e+00
9.999982469999999513e-01,3.718016425205935258e+06,1.445469306509113267e+04,3.805458512393292971e+06,-8.744208718735771254e+04,-2.297806871434382447e+00
9.999982490000000057e-01,3.727307815598423127e+06,1.328808543945971542e+04,3.814700756075254641e+06,-8.739294047683151439e+04,-2.290951402613963239e+00
9.999982509999999492e-01,3.744724590649712831e+06,1.486445311443552600e+04,3.823975442044388968e+06,-7.925085139467613772e+04,-2.072472812542612175e+00
9.999982530000000036e-01,3.753942195849757176e+06,1.730021318211629841e+04,3.833282721643276047e+06,-7.934052579351887107e+04,-2.069780174197708877e+00
9.999982549999999470e-01,3.763833487099677790e+06,1.354376057502932963e+04,3.842622745543346275e+06,-7.878925844366848469e+04,-2.050403166302178892e+00
9.999982570000000015e-01,3.769047501285074744e+06,1.468426127269732388e+04,3.851995666321581695e+06,-8.294816503650695086e+04,-2.153381577288152382e+00
9.999982589999999449e-01,3.766787141630019993e+06,1.194426335959598691e+04,3.861401635356380604e+06,-9.461449372636061162e+04,-2.450262952707025210e+00
