Eph_cms bin center    K_Eph    Error 
-inf   1.000000e+00   6.896935e-01
 5.097500e+00   2.000000e-01   1.494416e-01
 1.519250e+01   0.000000e+00   0.000000e+00
 2.528750e+01   0.000000e+00   0.000000e+00
 3.538250e+01   0.000000e+00   0.000000e+00
 4.547750e+01   0.000000e+00   0.000000e+00
 5.557250e+01   0.000000e+00   0.000000e+00
 6.566750e+01   0.000000e+00   0.000000e+00
 7.576250e+01   0.000000e+00   0.000000e+00
 8.585750e+01   0.000000e+00   0.000000e+00
 9.595250e+01   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
