phi5_lab bin center    K_phi5    Error 
-inf   0.000000e+00   0.000000e+00
-2.827433e+03   1.000000e+00   5.719207e-01
-2.199115e+03   1.000000e+00   4.989451e-01
-1.570796e+03   1.000000e+00   5.142441e-01
-9.424778e+02   1.000000e+00   5.796415e-01
-3.141593e+02   1.000000e+00   5.410509e-01
 3.141593e+02   1.000000e+00   6.154028e-01
 9.424778e+02   1.000000e+00   6.220489e-01
 1.570796e+03   1.000000e+00   4.585470e-01
 2.199115e+03   1.000000e+00   5.292424e-01
 2.827433e+03   1.000000e+00   5.540522e-01
 inf   0.000000e+00   0.000000e+00
