th3_cms bin centers    value    Error 
 1.423430e-03   1.671528e+04   2.307383e+02
 1.424050e-03   1.645507e+04   2.416889e+02
 1.424670e-03   1.682005e+04   2.319275e+02
 1.425290e-03   1.652898e+04   9.283575e+01
 1.425910e-03   1.672543e+04   1.743284e+02
 1.426530e-03   1.691980e+04   2.765107e+02
 1.427150e-03   1.674634e+04   1.575783e+02
 1.427770e-03   1.652895e+04   1.498513e+02
 1.428390e-03   1.658210e+04   2.000586e+02
 1.429010e-03   1.661209e+04   1.492726e+02
 1.429630e-03   1.653552e+04   2.390788e+02
 1.430250e-03   1.670034e+04   1.221598e+02
 1.430870e-03   1.650475e+04   1.441775e+02
 1.431490e-03   1.631027e+04   1.624046e+02
 1.432110e-03   1.634724e+04   9.882108e+01
 1.432730e-03   1.664493e+04   1.618882e+02
 1.433350e-03   1.635079e+04   1.736792e+02
 1.433970e-03   1.632564e+04   1.304876e+02
 1.434590e-03   1.660694e+04   2.687535e+02
 1.435210e-03   1.623494e+04   1.951018e+02
 1.435830e-03   1.634109e+04   2.047446e+02
 1.436450e-03   1.625331e+04   1.137249e+02
 1.437070e-03   1.620965e+04   1.556800e+02
 1.437690e-03   1.630646e+04   1.465927e+02
 1.438310e-03   1.631845e+04   2.332426e+02
 1.438930e-03   1.622629e+04   1.442198e+02
 1.439550e-03   1.616661e+04   1.410558e+02
 1.440170e-03   1.627063e+04   1.386617e+02
 1.440790e-03   1.598886e+04   1.247733e+02
 1.441410e-03   1.622889e+04   1.241867e+02
 1.442030e-03   1.611077e+04   1.503699e+02
 1.442650e-03   1.603856e+04   1.916921e+02
 1.443270e-03   1.590585e+04   1.593727e+02
 1.443890e-03   1.598612e+04   1.882300e+02
 1.444510e-03   1.618983e+04   1.692395e+02
 1.445130e-03   1.555823e+04   2.225976e+02
 1.445750e-03   1.605111e+04   1.134182e+02
 1.446370e-03   1.620428e+04   1.465690e+02
 1.446990e-03   1.592078e+04   1.977416e+02
 1.447610e-03   1.592032e+04   2.111122e+02
 1.448230e-03   1.583149e+04   1.595133e+02
 1.448850e-03   1.594935e+04   1.549031e+02
 1.449470e-03   1.599941e+04   1.831198e+02
 1.450090e-03   1.557495e+04   1.593289e+02
 1.450710e-03   1.578222e+04   1.192351e+02
 1.451330e-03   1.564669e+04   1.861801e+02
 1.451950e-03   1.602571e+04   1.496987e+02
 1.452570e-03   1.570535e+04   9.927184e+01
 1.453190e-03   1.566906e+04   1.495610e+02
 1.453810e-03   1.561194e+04   1.747056e+02
 1.454430e-03   1.569083e+04   1.361236e+02
 1.455050e-03   1.546204e+04   2.208915e+02
 1.455670e-03   1.556341e+04   1.465318e+02
 1.456290e-03   1.555910e+04   1.054478e+02
 1.456910e-03   1.591463e+04   1.694244e+02
 1.457530e-03   1.533208e+04   2.208388e+02
 1.458150e-03   1.548571e+04   1.120716e+02
 1.458770e-03   1.547313e+04   2.365598e+02
 1.459390e-03   1.572195e+04   1.922543e+02
 1.460010e-03   1.548084e+04   1.291711e+02
 1.460630e-03   1.516558e+04   1.065623e+02
 1.461250e-03   1.551799e+04   1.170428e+02
 1.461870e-03   1.518304e+04   1.587699e+02
 1.462490e-03   1.543878e+04   1.021886e+02
 1.463110e-03   1.527727e+04   1.343743e+02
 1.463730e-03   1.533356e+04   9.523624e+01
 1.464350e-03   1.521125e+04   1.662118e+02
 1.464970e-03   1.535744e+04   1.306100e+02
 1.465590e-03   1.523708e+04   8.809381e+01
 1.466210e-03   1.538439e+04   1.312077e+02
 1.466830e-03   1.515619e+04   2.394536e+02
 1.467450e-03   1.542020e+04   8.745621e+01
 1.468070e-03   1.497280e+04   1.567451e+02
 1.468690e-03   1.546860e+04   1.832236e+02
 1.469310e-03   1.526590e+04   2.122435e+02
 1.469930e-03   1.544384e+04   1.719859e+02
 1.470550e-03   1.523886e+04   1.763212e+02
