Emu_lab bin center    K_Emu    Error 
-inf   1.000000e+00   3.073686e-04
 9.507500e+01   1.000000e+00   4.108316e-03
 9.522500e+01   1.000000e+00   3.937124e-03
 9.537500e+01   1.000000e+00   3.895940e-03
 9.552500e+01   1.000000e+00   4.204374e-03
 9.567500e+01   1.000000e+00   3.774927e-03
 9.582500e+01   1.000000e+00   3.940447e-03
 9.597500e+01   1.000000e+00   3.850876e-03
 9.612500e+01   1.000000e+00   3.525821e-03
 9.627500e+01   1.000000e+00   3.565963e-03
 9.642500e+01   1.000000e+00   3.616661e-03
 9.657500e+01   1.000000e+00   3.410845e-03
 9.672500e+01   1.000000e+00   3.489661e-03
 9.687500e+01   1.000000e+00   3.993629e-03
 9.702500e+01   1.000000e+00   3.581324e-03
 9.717500e+01   1.000000e+00   3.237774e-03
 9.732500e+01   1.000000e+00   3.282759e-03
 9.747500e+01   1.000000e+00   3.729537e-03
 9.762500e+01   1.000000e+00   3.474716e-03
 9.777500e+01   1.000000e+00   3.866985e-03
 9.792500e+01   1.000000e+00   4.005223e-03
 9.807500e+01   1.000000e+00   3.219050e-03
 9.822500e+01   1.000000e+00   3.425025e-03
 9.837500e+01   1.000000e+00   3.314179e-03
 9.852500e+01   1.000000e+00   3.448814e-03
 9.867500e+01   1.000000e+00   3.074175e-03
 9.882500e+01   1.000000e+00   2.948166e-03
 9.897500e+01   1.000000e+00   2.767863e-03
 9.912500e+01   1.000000e+00   2.629995e-03
 9.927500e+01   1.000000e+00   2.675081e-03
 9.942500e+01   1.000000e+00   1.987730e-03
 9.957500e+01   1.000000e+00   2.180322e-03
 9.972500e+01   1.000000e+00   1.992004e-03
 9.987500e+01   1.000000e+00   1.902564e-03
 1.000250e+02   1.989608e-01   1.254999e-03
 1.001750e+02   0.000000e+00   0.000000e+00
 1.003250e+02   0.000000e+00   0.000000e+00
 1.004750e+02   0.000000e+00   0.000000e+00
 1.006250e+02   0.000000e+00   0.000000e+00
 1.007750e+02   0.000000e+00   0.000000e+00
 1.009250e+02   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
