y5_lab bin center    K_y5    Error 
-inf   1.000000e+00   1.094715e+00
-1.719000e-01   6.000000e-01   4.898978e-01
-1.337000e-01   8.000000e-01   5.649784e-01
-9.550000e-02   1.000000e+00   5.590590e-01
-5.730000e-02   1.000000e+00   5.453715e-01
-1.910000e-02   1.000000e+00   5.100230e-01
 1.910000e-02   1.000000e+00   5.443326e-01
 5.730000e-02   1.000000e+00   5.215662e-01
 9.550000e-02   1.000000e+00   5.691459e-01
 1.337000e-01   1.000000e+00   6.323339e-01
 1.719000e-01   6.000000e-01   4.898979e-01
 inf   1.000000e+00   1.017908e+00
