x5_lab bin center    K_x5    Error 
-inf   1.000000e+00   4.439065e-02
-1.862250e-01   1.000000e+00   2.931656e-02
-1.766750e-01   1.000000e+00   2.489233e-02
-1.671250e-01   1.000000e+00   5.167183e-02
-1.575750e-01   1.000000e+00   3.240593e-02
-1.480250e-01   1.000000e+00   4.599094e-02
-1.384750e-01   1.000000e+00   3.926636e-02
-1.289250e-01   1.000000e+00   2.315916e-02
-1.193750e-01   1.000000e+00   2.950238e-02
-1.098250e-01   1.000000e+00   3.238298e-02
-1.002750e-01   1.000000e+00   3.274530e-02
-9.072500e-02   1.000000e+00   2.804444e-02
-8.117500e-02   1.000000e+00   2.706421e-02
-7.162500e-02   1.000000e+00   2.882057e-02
-6.207500e-02   1.000000e+00   4.374518e-02
-5.252500e-02   1.000000e+00   3.421832e-02
-4.297500e-02   1.000000e+00   3.287680e-02
-3.342500e-02   1.000000e+00   3.390794e-02
-2.387500e-02   1.000000e+00   3.169397e-02
-1.432500e-02   1.000000e+00   3.653175e-02
-4.775000e-03   7.945038e-01   2.670551e-02
 4.775000e-03   1.000000e+00   4.010132e-02
 1.432500e-02   1.000000e+00   3.942446e-02
 2.387500e-02   1.000000e+00   3.260721e-02
 3.342500e-02   1.000000e+00   3.767113e-02
 4.297500e-02   1.000000e+00   3.237532e-02
 5.252500e-02   1.000000e+00   3.372492e-02
 6.207500e-02   1.000000e+00   3.802493e-02
 7.162500e-02   1.000000e+00   3.298086e-02
 8.117500e-02   1.000000e+00   2.768121e-02
 9.072500e-02   1.000000e+00   3.345491e-02
 1.002750e-01   1.000000e+00   3.106701e-02
 1.098250e-01   1.000000e+00   2.930086e-02
 1.193750e-01   1.000000e+00   2.615861e-02
 1.289250e-01   1.000000e+00   2.323892e-02
 1.384750e-01   1.000000e+00   3.314280e-02
 1.480250e-01   1.000000e+00   2.495137e-02
 1.575750e-01   1.000000e+00   2.465222e-02
 1.671250e-01   1.000000e+00   3.448760e-02
 1.766750e-01   1.000000e+00   2.933368e-02
 1.862250e-01   1.000000e+00   2.475198e-02
 inf   1.000000e+00   5.333285e-02
