phi5_lab bin center    K_phi5    Error 
-inf   0.000000e+00   0.000000e+00
-3.063053e+03   1.000000e+00   2.733061e-02
-2.905973e+03   1.000000e+00   3.355961e-02
-2.748894e+03   1.000000e+00   3.403408e-02
-2.591814e+03   1.000000e+00   3.551835e-02
-2.434734e+03   1.000000e+00   2.719953e-02
-2.277655e+03   1.000000e+00   2.671526e-02
-2.120575e+03   1.000000e+00   3.312270e-02
-1.963495e+03   1.000000e+00   2.742007e-02
-1.806416e+03   1.000000e+00   3.062252e-02
-1.649336e+03   1.000000e+00   3.837826e-02
-1.492257e+03   1.000000e+00   3.754868e-02
-1.335177e+03   1.000000e+00   3.011557e-02
-1.178097e+03   1.000000e+00   3.764971e-02
-1.021018e+03   1.000000e+00   4.419894e-02
-8.639380e+02   1.000000e+00   3.468187e-02
-7.068583e+02   1.000000e+00   2.964940e-02
-5.497787e+02   1.000000e+00   3.055142e-02
-3.926991e+02   1.000000e+00   3.299263e-02
-2.356194e+02   1.000000e+00   2.963451e-02
-7.853982e+01   8.008964e-01   2.567312e-02
 7.853982e+01   1.000000e+00   3.346331e-02
 2.356194e+02   1.000000e+00   2.660416e-02
 3.926991e+02   1.000000e+00   3.508375e-02
 5.497787e+02   1.000000e+00   3.969972e-02
 7.068583e+02   1.000000e+00   2.671139e-02
 8.639380e+02   1.000000e+00   2.697712e-02
 1.021018e+03   1.000000e+00   2.541807e-02
 1.178097e+03   1.000000e+00   3.181103e-02
 1.335177e+03   1.000000e+00   4.435816e-02
 1.492257e+03   1.000000e+00   2.552589e-02
 1.649336e+03   1.000000e+00   3.228617e-02
 1.806416e+03   1.000000e+00   2.544773e-02
 1.963495e+03   1.000000e+00   2.667233e-02
 2.120575e+03   1.000000e+00   2.986032e-02
 2.277655e+03   1.000000e+00   2.636445e-02
 2.434734e+03   1.000000e+00   3.307897e-02
 2.591814e+03   1.000000e+00   3.924920e-02
 2.748894e+03   1.000000e+00   3.672012e-02
 2.905973e+03   1.000000e+00   3.739200e-02
 3.063053e+03   1.000000e+00   2.731413e-02
 inf   0.000000e+00   0.000000e+00
