phi5_lab bin center    K_phi5    Error 
-inf   0.000000e+00   0.000000e+00
-2.827433e+03   1.000000e+00   5.138898e-02
-2.199115e+03   1.000000e+00   6.041919e-02
-1.570796e+03   1.000000e+00   6.408579e-02
-9.424778e+02   1.000000e+00   5.598997e-02
-3.141593e+02   7.960191e-01   4.614061e-02
 3.141593e+02   1.000000e+00   6.009852e-02
 9.424778e+02   1.000000e+00   6.131588e-02
 1.570796e+03   1.000000e+00   6.687343e-02
 2.199115e+03   1.000000e+00   5.255246e-02
 2.827433e+03   1.000000e+00   7.999622e-02
 inf   0.000000e+00   0.000000e+00
