th3_cms_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345310e-03   0.000000e+00   0.000000e+00
 1.345930e-03   0.000000e+00   0.000000e+00
 1.346550e-03   0.000000e+00   0.000000e+00
 1.347170e-03   0.000000e+00   0.000000e+00
 1.347790e-03   0.000000e+00   0.000000e+00
 1.348410e-03   0.000000e+00   0.000000e+00
 1.349030e-03   0.000000e+00   0.000000e+00
 1.349650e-03   0.000000e+00   0.000000e+00
 1.350270e-03   0.000000e+00   0.000000e+00
 1.350890e-03   0.000000e+00   0.000000e+00
 1.351510e-03   0.000000e+00   0.000000e+00
 1.352130e-03   0.000000e+00   0.000000e+00
 1.352750e-03   0.000000e+00   0.000000e+00
 1.353370e-03   0.000000e+00   0.000000e+00
 1.353990e-03   0.000000e+00   0.000000e+00
 1.354610e-03   0.000000e+00   0.000000e+00
 1.355230e-03   0.000000e+00   0.000000e+00
 1.355850e-03   0.000000e+00   0.000000e+00
 1.356470e-03   0.000000e+00   0.000000e+00
 1.357090e-03   0.000000e+00   0.000000e+00
 1.357710e-03   0.000000e+00   0.000000e+00
 1.358330e-03   0.000000e+00   0.000000e+00
 1.358950e-03   0.000000e+00   0.000000e+00
 1.359570e-03   0.000000e+00   0.000000e+00
 1.360190e-03   0.000000e+00   0.000000e+00
 1.360810e-03   0.000000e+00   0.000000e+00
 1.361430e-03   0.000000e+00   0.000000e+00
 1.362050e-03   0.000000e+00   0.000000e+00
 1.362670e-03   0.000000e+00   0.000000e+00
 1.363290e-03   0.000000e+00   0.000000e+00
 1.363910e-03   0.000000e+00   0.000000e+00
 1.364530e-03   0.000000e+00   0.000000e+00
 1.365150e-03   0.000000e+00   0.000000e+00
 1.365770e-03   0.000000e+00   0.000000e+00
 1.366390e-03   0.000000e+00   0.000000e+00
 1.367010e-03   0.000000e+00   0.000000e+00
 1.367630e-03   0.000000e+00   0.000000e+00
 1.368250e-03   0.000000e+00   0.000000e+00
 1.368870e-03   0.000000e+00   0.000000e+00
 1.369490e-03   0.000000e+00   0.000000e+00
 1.370110e-03   0.000000e+00   0.000000e+00
 1.370730e-03   0.000000e+00   0.000000e+00
 1.371350e-03   0.000000e+00   0.000000e+00
 1.371970e-03   0.000000e+00   0.000000e+00
 1.372590e-03   0.000000e+00   0.000000e+00
 1.373210e-03   0.000000e+00   0.000000e+00
 1.373830e-03   0.000000e+00   0.000000e+00
 1.374450e-03   0.000000e+00   0.000000e+00
 1.375070e-03   0.000000e+00   0.000000e+00
 1.375690e-03   0.000000e+00   0.000000e+00
 1.376310e-03   0.000000e+00   0.000000e+00
 1.376930e-03   0.000000e+00   0.000000e+00
 1.377550e-03   0.000000e+00   0.000000e+00
 1.378170e-03   0.000000e+00   0.000000e+00
