th3_cms bin centers    value    Error 
 1.423430e-03   1.673677e+04   6.958296e+01
 1.424050e-03   1.681789e+04   7.149102e+01
 1.424670e-03   1.670862e+04   4.489975e+01
 1.425290e-03   1.663465e+04   8.913572e+01
 1.425910e-03   1.682125e+04   1.034036e+02
 1.426530e-03   1.654074e+04   8.053797e+01
 1.427150e-03   1.666506e+04   7.813588e+01
 1.427770e-03   1.669366e+04   7.649252e+01
 1.428390e-03   1.653236e+04   9.993474e+01
 1.429010e-03   1.662719e+04   5.577896e+01
 1.429630e-03   1.635177e+04   1.108604e+02
 1.430250e-03   1.642038e+04   1.318426e+02
 1.430870e-03   1.660093e+04   7.875899e+01
 1.431490e-03   1.655713e+04   5.276410e+01
 1.432110e-03   1.637517e+04   4.917409e+01
 1.432730e-03   1.618643e+04   1.195733e+02
 1.433350e-03   1.648239e+04   1.105995e+02
 1.433970e-03   1.627257e+04   4.531879e+01
 1.434590e-03   1.647829e+04   6.820446e+01
 1.435210e-03   1.626322e+04   1.005890e+02
 1.435830e-03   1.626806e+04   1.679619e+02
 1.436450e-03   1.638841e+04   1.293395e+02
 1.437070e-03   1.637356e+04   8.936920e+01
 1.437690e-03   1.623570e+04   1.047709e+02
 1.438310e-03   1.621888e+04   7.239696e+01
 1.438930e-03   1.618998e+04   5.969017e+01
 1.439550e-03   1.608600e+04   1.112206e+02
 1.440170e-03   1.613308e+04   9.402210e+01
 1.440790e-03   1.610482e+04   7.756772e+01
 1.441410e-03   1.605992e+04   6.401740e+01
 1.442030e-03   1.600244e+04   8.118147e+01
 1.442650e-03   1.620392e+04   6.846503e+01
 1.443270e-03   1.615039e+04   8.275020e+01
 1.443890e-03   1.591517e+04   9.747116e+01
 1.444510e-03   1.625834e+04   1.006225e+02
 1.445130e-03   1.605226e+04   8.072103e+01
 1.445750e-03   1.594374e+04   7.877116e+01
 1.446370e-03   1.603084e+04   1.393945e+02
 1.446990e-03   1.587987e+04   3.616939e+01
 1.447610e-03   1.599972e+04   4.617164e+01
 1.448230e-03   1.589220e+04   6.128611e+01
 1.448850e-03   1.596465e+04   1.054765e+02
 1.449470e-03   1.598836e+04   4.687189e+01
 1.450090e-03   1.582102e+04   1.194165e+02
 1.450710e-03   1.580352e+04   6.038191e+01
 1.451330e-03   1.551875e+04   1.591096e+02
 1.451950e-03   1.576496e+04   7.544688e+01
 1.452570e-03   1.564425e+04   1.332085e+02
 1.453190e-03   1.573851e+04   9.904876e+01
 1.453810e-03   1.575034e+04   5.816617e+01
 1.454430e-03   1.570892e+04   6.788370e+01
 1.455050e-03   1.562542e+04   6.932869e+01
 1.455670e-03   1.554381e+04   5.990626e+01
 1.456290e-03   1.577599e+04   1.240325e+02
 1.456910e-03   1.557322e+04   7.566538e+01
 1.457530e-03   1.556309e+04   3.826381e+01
 1.458150e-03   1.566296e+04   8.930649e+01
 1.458770e-03   1.560421e+04   8.793585e+01
 1.459390e-03   1.552269e+04   1.160446e+02
 1.460010e-03   1.547851e+04   8.596398e+01
 1.460630e-03   1.549568e+04   1.070878e+02
 1.461250e-03   1.559607e+04   8.036699e+01
 1.461870e-03   1.535647e+04   4.966206e+01
 1.462490e-03   1.548563e+04   4.443353e+01
 1.463110e-03   1.537734e+04   7.001630e+01
 1.463730e-03   1.533311e+04   6.443233e+01
