x5_lab bin center    K_x5    Error 
-inf   1.000000e+00   1.938508e-01
-1.719000e-01   1.000000e+00   1.173800e-01
-1.337000e-01   1.000000e+00   9.334164e-02
-9.550000e-02   1.000000e+00   8.327735e-02
-5.730000e-02   1.000000e+00   5.413363e-02
-1.910000e-02   7.969254e-01   5.474040e-02
 1.910000e-02   1.000000e+00   5.906028e-02
 5.730000e-02   1.000000e+00   5.090309e-02
 9.550000e-02   1.000000e+00   6.929679e-02
 1.337000e-01   1.000000e+00   9.311949e-02
 1.719000e-01   1.000000e+00   1.082476e-01
 inf   1.000000e+00   2.948145e-01
