y5_lab bin center    K_y5    Error 
-inf   1.000000e+00   1.132525e+00
-1.719000e-01   6.000000e-01   4.898979e-01
-1.337000e-01   8.000000e-01   5.039827e-01
-9.550000e-02   1.000000e+00   4.095915e-01
-5.730000e-02   1.000000e+00   4.279101e-01
-1.910000e-02   1.000000e+00   3.640082e-01
 1.910000e-02   1.000000e+00   3.676603e-01
 5.730000e-02   1.000000e+00   4.443646e-01
 9.550000e-02   1.000000e+00   4.039120e-01
 1.337000e-01   8.000000e-01   4.760675e-01
 1.719000e-01   4.000000e-01   4.000000e-01
 inf   1.000000e+00   1.239102e+00
