Q2_GeV2,num,num_err,ana,diff,rel_diff_percent
2.249999999999999830e-03,5.106640770302903547e+04,3.932102115312895663e+00,5.104214134581733379e+04,2.426635721170168836e+01,4.754180873269769902e-02
2.350000000000000092e-03,4.679096631309988152e+04,4.749643992559168915e+00,4.677324126388078730e+04,1.772504921909421682e+01,3.789570433892903295e-02
2.449999999999999921e-03,4.304327617671660846e+04,5.307261745131611086e+00,4.301701834260731266e+04,2.625783410929579986e+01,6.104057212930551202e-02
2.549999999999999750e-03,3.971238904338427528e+04,4.972039890969032427e+00,3.969459803247304080e+04,1.779101091123447986e+01,4.481972810678206548e-02
2.650000000000000012e-03,3.675266514921478665e+04,4.906533094186593225e+00,3.674170710880140541e+04,1.095804041338124080e+01,2.982452715365602539e-02
2.749999999999999840e-03,3.411649204354843096e+04,2.918467965262125485e+00,3.410554657527649397e+04,1.094546827193698846e+01,3.209292731250783237e-02
2.849999999999999669e-03,3.175879485999393728e+04,4.746793884454076462e+00,3.174241884837186444e+04,1.637601162207283778e+01,5.159030791036518099e-02
2.949999999999999931e-03,2.961684475742886934e+04,4.247587629990649205e+00,2.961590824596585662e+04,9.365114630127209239e-01,3.162190587689601463e-03
3.049999999999999760e-03,2.770500271204840101e+04,2.878360116347086883e+00,2.769547209860104340e+04,9.530613447357609402e+00,3.441217182876265407e-02
3.150000000000000022e-03,2.595421260322269882e+04,5.030351102187483825e+00,2.595533989759855103e+04,-1.127294375852216035e+00,-4.343207911357446945e-03
3.249999999999999851e-03,2.438191721093655360e+04,3.294824892740973343e+00,2.437364585074104616e+04,8.271360195507440949e+00,3.393567070827018667e-02
3.349999999999999679e-03,2.293003384511317563e+04,4.083968567463466037e+00,2.293173995711447787e+04,-1.706112001302244607e+00,-7.439958784169494951e-03
3.449999999999999942e-03,2.162217944976145736e+04,3.051828901749275680e+00,2.161363681769512550e+04,8.542632066331862006e+00,3.952426950811902678e-02
3.549999999999999770e-03,2.040602946524192885e+04,3.464896273665119875e+00,2.040557158802311096e+04,4.578772188178845681e-01,2.243883327858514978e-03
3.650000000000000033e-03,1.930606671514745540e+04,3.854428887481997634e+00,1.929563991690557305e+04,1.042679824188235216e+01,5.403706892740611084e-02
3.749999999999999861e-03,1.826620064425573219e+04,3.749652467711598547e+00,1.827350419664282163e+04,-7.303552387089439435e+00,-3.996799031261467905e-02
3.849999999999999690e-03,1.733943244538774525e+04,4.623900569532791494e+00,1.733015252710083951e+04,9.279918286905740388e+00,5.354781657226520553e-02
3.949999999999999518e-03,1.645835921342556321e+04,3.991260397934236259e+00,1.645769985412068490e+04,6.593593048783077393e-01,4.006387956535840261e-03
4.049999999999999781e-03,1.565365818911118913e+04,3.806282080066161200e+00,1.564922305539731860e+04,4.435133713870527572e+00,2.834091953428242300e-02
4.150000000000000043e-03,1.490566662300427197e+04,3.387310259569813908e+00,1.489862350922574115e+04,7.043113778530823765e+00,4.727358721541950054e-02
4.249999999999999438e-03,1.420370395517808538e+04,2.805921351644285355e+00,1.420051203412403629e+04,3.191921054049089435e+00,2.247750677143793563e-02
4.349999999999999700e-03,1.355626412366688055e+04,3.041665446637994208e+00,1.355011213266378218e+04,6.151991003098373767e+00,4.540177190318918365e-02
4.449999999999999963e-03,1.294213888038022196e+04,2.521567888073423358e+00,1.294317828595116225e+04,-1.039405570940289181e+00,-8.030528112778026820e-03
4.550000000000000225e-03,1.238127824652970048e+04,3.114659737229203529e+00,1.237592668161047186e+04,5.351564919228621875e+00,4.324173095805886047e-02
4.649999999999999620e-03,1.184879156107715426e+04,3.959798967210190312e+00,1.184497625916723882e+04,3.815301909915433498e+00,3.221029596376471377e-02
4.749999999999999882e-03,1.135158835440029361e+04,2.622174183695499927e+00,1.134729835341837497e+04,4.290000981918637990e+00,3.780636454867052076e-02
4.850000000000000144e-03,1.088574240559828286e+04,3.350494278723221253e+00,1.088017353213191200e+04,5.568873466370860115e+00,5.118368241025351290e-02
4.949999999999999539e-03,1.044147296331486905e+04,2.621885663749306872e+00,1.044115447703802602e+04,3.184862768430321012e-01,3.050297527380143887e-03
5.049999999999999802e-03,1.002811218845519033e+04,4.114869944092337306e+00,1.002803396016998340e+04,7.822828520693292376e-02,7.800959342344198234e-04
5.150000000000000064e-03,9.641265832212511668e+03,2.666169591508487535e+00,9.638817131661631720e+03,2.448700550879948423e+00,2.540457524436733408e-02
5.249999999999999459e-03,9.272069420402627657e+03,4.279719584520361053e+00,9.271697468208891223e+03,3.719521937364334008e-01,4.011694676317854695e-03
5.349999999999999721e-03,8.923569614969763279e+03,3.456929651574642381e+00,8.925035839859658154e+03,-1.466224889894874650e+00,-1.642822411251998113e-02
5.449999999999999983e-03,8.596767745964141795e+03,3.884096456357837290e+00,8.597342241536778602e+03,-5.744955726368061733e-01,-6.682246169766470172e-03
5.549999999999999378e-03,8.291279487735691873e+03,1.888401382365533898e+00,8.287259808594497372e+03,4.019679141194501426e+00,4.850432150112873875e-02
5.649999999999999641e-03,7.992961393978438537e+03,2.703326188746330683e+00,7.993550795817552171e+03,-5.894018391136341961e-01,-7.373467113288697736e-03
5.749999999999999903e-03,7.713917256516563612e+03,2.647737666946914814e+00,7.715084249018224909e+03,-1.166992501661297865e+00,-1.512611481604756586e-02
5.850000000000000165e-03,7.452701755848263929e+03,2.773088802655766294e+00,7.450825139701604712e+03,1.876616146659216611e+00,2.518668887637285844e-02
5.949999999999999560e-03,7.203048810088639584e+03,3.934215749352360625e+00,7.199824767699577933e+03,3.224042389061651193e+00,4.477945634907122552e-02
6.049999999999999822e-03,6.959757023705821666e+03,4.072328124374489100e+00,6.961212265459846094e+03,-1.455241754024427792e+00,-2.090500473954872221e-02
6.150000000000000085e-03,6.734524448072689665e+03,3.694756548777523797e+00,6.734187061819522569e+03,3.373862531670965836e-01,5.010051696959210571e-03
6.249999999999999480e-03,6.516153197899622683e+03,1.948878447623461962e+00,6.518012183404080133e+03,-1.858985504457450588e+00,-2.852074301411602550e-02
6.349999999999999742e-03,6.313199179324726174e+03,3.258671523417933091e+00,6.312008288929911032e+03,1.190890394815141917e+00,1.886706005921668858e-02
6.450000000000000004e-03,6.114831656954482241e+03,2.552823091226849250e+00,6.115548346189954827e+03,-7.166892354725860059e-01,-1.171913285452301674e-02
6.549999999999999399e-03,5.932651937386624013e+03,2.827583086743579610e+00,5.928052873805528179e+03,4.599063581095833797e+00,7.758135224160801757e-02
6.649999999999999661e-03,5.747426908915386775e+03,2.702556990203318410e+00,5.748985680295228121e+03,-1.558771379841346061e+00,-2.711385045163824947e-02
6.749999999999999924e-03,5.580599644221149902e+03,1.776671094766462344e+00,5.577850041939703260e+03,2.749602281446641427e+00,4.929501977952896463e-02
6.849999999999999319e-03,5.413009098144359996e+03,2.250997355811170664e+00,5.414185268555322182e+03,-1.176170410962185997e+00,-2.172386707549861518e-02
6.949999999999999581e-03,5.257379136096552429e+03,2.371290098555490111e+00,5.257563612833176194e+03,-1.844767366237647366e-01,-3.508787533706217866e-03
7.049999999999999843e-03,5.113005592633806373e+03,2.219293142593802060e+00,5.107587484521726765e+03,5.418108112079607963e+00,1.060795948869969890e-01
7.150000000000000105e-03,4.960658702256641845e+03,1.942226922143458490e+00,4.963886935572394577e+03,-3.228233315752731869e+00,-6.503438449853569947e-02
7.249999999999999500e-03,4.831787598435614200e+03,1.750737061828073315e+00,4.826117386545049158e+03,5.670211890565042268e+00,1.174901361987854276e-01
7.349999999999999763e-03,4.692989959230367276e+03,1.357841268516360334e+00,4.693957568183603144e+03,-9.676089532358673750e-01,-2.061392629099325496e-02
7.450000000000000025e-03,4.566531616799814401e+03,2.035168025222120924e+00,4.567107655203269132e+03,-5.760384034547314513e-01,-1.261276166324775717e-02
7.549999999999999420e-03,4.446469382355599919e+03,2.534576367140918052e+00,4.445287572050232484e+03,1.181810305367434921e+00,2.658568846699756877e-02
7.649999999999999682e-03,4.326748083569731534e+03,2.224774274267281360e+00,4.328235452760705812e+03,-1.487369190974277444e+00,-3.436433177463992655e-02
7.749999999999999944e-03,4.218235843446644139e+03,2.883553005494070121e+00,4.215706239108980299e+03,2.529604337663840852e+00,6.000428384209453153e-02
7.849999999999999339e-03,4.107935061075290832e+03,1.972526272828802885e+00,4.107470403035709751e+03,4.646580395810815389e-01,1.131251096143423389e-02
7.950000000000000469e-03,4.007271263109858410e+03,2.742136524031400402e+00,4.003312780923917671e+03,3.958482185940738418e+00,9.888016256943997495e-02
8.049999999999999864e-03,3.901543405907165379e+03,1.932470527284881001e+00,3.903031508672092059e+03,-1.488102764926679811e+00,-3.812684477745784811e-02
8.149999999999999259e-03,3.804571677638908568e+03,2.200646895612925036e+00,3.806437047726734363e+03,-1.865370087825795054e+00,-4.900567287563114410e-02
8.250000000000000389e-03,3.717456830735727181e+03,2.195076218447478134e+00,3.713351293303881448e+03,4.105537431845732499e+00,1.105615145878889177e-01
8.349999999999999784e-03,3.626260524025555696e+03,3.377375189011600387e+00,3.623606756968954414e+03,2.653767056601282093e+00,7.323551462910626864e-02
8.449999999999999178e-03,3.535986831297192111e+03,2.988046133530424253e+00,3.537045816573689990e+03,-1.058985276497878658e+00,-2.993982355376187399e-02
