Emu_cms_lab bin centers    value    Error 
-inf   4.406929e+00   5.238639e-03
 9.506000e+04   0.000000e+00   0.000000e+00
 9.518000e+04   0.000000e+00   0.000000e+00
 9.530000e+04   0.000000e+00   0.000000e+00
 9.542000e+04   0.000000e+00   0.000000e+00
 9.554000e+04   0.000000e+00   0.000000e+00
 9.566000e+04   0.000000e+00   0.000000e+00
 9.578000e+04   0.000000e+00   0.000000e+00
 9.590000e+04   0.000000e+00   0.000000e+00
 9.602000e+04   0.000000e+00   0.000000e+00
 9.614000e+04   0.000000e+00   0.000000e+00
 9.626000e+04   0.000000e+00   0.000000e+00
 9.638000e+04   0.000000e+00   0.000000e+00
 9.650000e+04   0.000000e+00   0.000000e+00
 9.662000e+04   0.000000e+00   0.000000e+00
 9.674000e+04   0.000000e+00   0.000000e+00
 9.686000e+04   0.000000e+00   0.000000e+00
 9.698000e+04   0.000000e+00   0.000000e+00
 9.710000e+04   0.000000e+00   0.000000e+00
 9.722000e+04   0.000000e+00   0.000000e+00
 9.734000e+04   0.000000e+00   0.000000e+00
 9.746000e+04   0.000000e+00   0.000000e+00
 9.758000e+04   0.000000e+00   0.000000e+00
 9.770000e+04   0.000000e+00   0.000000e+00
 9.782000e+04   0.000000e+00   0.000000e+00
 9.794000e+04   0.000000e+00   0.000000e+00
 9.806000e+04   0.000000e+00   0.000000e+00
 9.818000e+04   0.000000e+00   0.000000e+00
 9.830000e+04   0.000000e+00   0.000000e+00
 9.842000e+04   0.000000e+00   0.000000e+00
 9.854000e+04   0.000000e+00   0.000000e+00
 9.866000e+04   0.000000e+00   0.000000e+00
 9.878000e+04   0.000000e+00   0.000000e+00
 9.890000e+04   0.000000e+00   0.000000e+00
 9.902000e+04   0.000000e+00   0.000000e+00
 9.914000e+04   0.000000e+00   0.000000e+00
 9.926000e+04   0.000000e+00   0.000000e+00
 9.938000e+04   0.000000e+00   0.000000e+00
 9.950000e+04   0.000000e+00   0.000000e+00
 9.962000e+04   0.000000e+00   0.000000e+00
 9.974000e+04   0.000000e+00   0.000000e+00
 9.986000e+04   0.000000e+00   0.000000e+00
 9.998000e+04   0.000000e+00   0.000000e+00
 1.001000e+05   0.000000e+00   0.000000e+00
 1.002200e+05   0.000000e+00   0.000000e+00
 1.003400e+05   0.000000e+00   0.000000e+00
 1.004600e+05   0.000000e+00   0.000000e+00
 1.005800e+05   0.000000e+00   0.000000e+00
 1.007000e+05   0.000000e+00   0.000000e+00
 1.008200e+05   0.000000e+00   0.000000e+00
 1.009400e+05   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
