Emu_lab bin center    K_Emu    Error 
-inf   1.000000e+00   1.170121e+00
 9.530000e+01   0.000000e+00   0.000000e+00
 9.590000e+01   2.000000e-01   2.828427e-01
 9.650000e+01   4.000000e-01   4.000000e-01
 9.710000e+01   2.000000e-01   2.505878e-01
 9.770000e+01   0.000000e+00   0.000000e+00
 9.830000e+01   2.000000e-01   2.828427e-01
 9.890000e+01   6.000000e-01   4.898979e-01
 9.950000e+01   8.000000e-01   5.656854e-01
 1.001000e+02   2.022977e-01   2.828427e-01
 1.007000e+02   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
