costh3_lab bin centers    value    Error 
 9.999986e-01   6.337268e+06   1.277499e+04
 9.999986e-01   6.326353e+06   1.147279e+04
 9.999986e-01   6.396265e+06   1.601165e+04
 9.999986e-01   6.470482e+06   1.592159e+04
 9.999987e-01   6.508625e+06   1.570161e+04
 9.999987e-01   6.535495e+06   1.533938e+04
 9.999987e-01   6.618548e+06   1.776041e+04
 9.999987e-01   6.657458e+06   1.526104e+04
 9.999987e-01   6.686216e+06   1.468457e+04
 9.999987e-01   6.782219e+06   1.695321e+04
 9.999987e-01   6.801444e+06   1.687033e+04
 9.999987e-01   6.872756e+06   1.754412e+04
 9.999987e-01   6.928580e+06   1.486051e+04
 9.999987e-01   6.971881e+06   1.307484e+04
 9.999987e-01   7.031690e+06   1.278109e+04
 9.999987e-01   7.102100e+06   1.552758e+04
 9.999987e-01   7.169834e+06   2.008954e+04
 9.999987e-01   7.221605e+06   2.194533e+04
 9.999987e-01   7.247693e+06   2.012210e+04
 9.999987e-01   7.366666e+06   2.121864e+04
 9.999987e-01   7.375519e+06   1.672008e+04
 9.999987e-01   7.420265e+06   1.515430e+04
 9.999987e-01   7.542579e+06   1.690865e+04
 9.999987e-01   7.559486e+06   2.114193e+04
 9.999988e-01   7.642615e+06   1.752707e+04
 9.999988e-01   7.665856e+06   1.903543e+04
 9.999988e-01   7.777611e+06   1.557873e+04
 9.999988e-01   7.877790e+06   1.733755e+04
 9.999988e-01   7.892944e+06   1.404652e+04
 9.999988e-01   7.991392e+06   1.449568e+04
 9.999988e-01   8.030009e+06   1.809517e+04
 9.999988e-01   8.075425e+06   2.133927e+04
 9.999988e-01   8.195738e+06   1.350426e+04
 9.999988e-01   8.261071e+06   2.048970e+04
 9.999988e-01   8.331212e+06   1.972207e+04
 9.999988e-01   8.404908e+06   2.026191e+04
 9.999988e-01   8.472609e+06   1.343517e+04
 9.999988e-01   8.552702e+06   1.813910e+04
 9.999988e-01   8.596358e+06   1.550232e+04
 9.999988e-01   8.694184e+06   1.778803e+04
 9.999988e-01   8.799131e+06   2.220377e+04
 9.999988e-01   8.868212e+06   2.160442e+04
 9.999988e-01   8.892060e+06   1.706342e+04
 9.999988e-01   9.046653e+06   1.378999e+04
 9.999989e-01   9.029343e+06   1.939089e+04
 9.999989e-01   9.207335e+06   1.588945e+04
 9.999989e-01   9.268282e+06   2.239124e+04
 9.999989e-01   9.330760e+06   2.495936e+04
 9.999989e-01   9.471190e+06   1.669824e+04
 9.999989e-01   9.493884e+06   2.498931e+04
 9.999989e-01   9.588867e+06   2.023142e+04
 9.999989e-01   9.718017e+06   1.952181e+04
 9.999989e-01   9.795396e+06   2.065249e+04
 9.999989e-01   9.839096e+06   1.502787e+04
 9.999989e-01   1.002660e+07   2.008904e+04
 9.999989e-01   1.001931e+07   2.091586e+04
 9.999989e-01   1.019959e+07   2.177962e+04
 9.999989e-01   1.027225e+07   1.773978e+04
 9.999989e-01   1.038666e+07   2.174941e+04
 9.999989e-01   1.042835e+07   2.253374e+04
 9.999989e-01   1.056875e+07   1.645177e+04
 9.999989e-01   1.068564e+07   2.117476e+04
 9.999989e-01   1.076411e+07   2.564718e+04
 9.999989e-01   1.087736e+07   1.371256e+04
 9.999990e-01   1.101616e+07   2.228596e+04
 9.999990e-01   1.109701e+07   1.839637e+04
 9.999990e-01   1.119771e+07   2.609926e+04
 9.999990e-01   1.129196e+07   2.235346e+04
 9.999990e-01   1.148024e+07   2.982138e+04
 9.999990e-01   1.156195e+07   2.230703e+04
 9.999990e-01   1.165057e+07   1.965610e+04
 9.999990e-01   1.181654e+07   2.061259e+04
 9.999990e-01   1.193551e+07   2.587959e+04
 9.999990e-01   1.201264e+07   2.080606e+04
 inf   2.735323e+02   3.679124e-04
