x5_lab bin center    K_x5    Error 
-inf   1.000000e+00   8.467487e-01
-1.719000e-01   1.000000e+00   6.316657e-01
-1.337000e-01   1.000000e+00   6.324555e-01
-9.550000e-02   1.000000e+00   6.324555e-01
-5.730000e-02   1.000000e+00   6.324305e-01
-1.910000e-02   1.000000e+00   5.436311e-01
 1.910000e-02   1.000000e+00   5.621768e-01
 5.730000e-02   1.000000e+00   6.272988e-01
 9.550000e-02   1.000000e+00   5.985791e-01
 1.337000e-01   1.000000e+00   6.324555e-01
 1.719000e-01   8.000000e-01   5.656814e-01
 inf   1.000000e+00   1.399728e+00
