phi5_x_lab bin center    K_phi5_x    Error 
-inf   1.000000e+00   1.822641e-02
-1.188000e+01   1.000000e+00   3.395184e-01
-1.164000e+01   1.000000e+00   2.654787e-01
-1.140000e+01   1.000000e+00   1.903323e-01
-1.116000e+01   1.000000e+00   2.736064e-01
-1.092000e+01   1.000000e+00   1.821499e-01
-1.068000e+01   1.000000e+00   2.165067e-01
-1.044000e+01   1.000000e+00   2.135416e-01
-1.020000e+01   1.000000e+00   3.398071e-01
-9.960000e+00   1.000000e+00   2.199906e-01
-9.720000e+00   1.000000e+00   2.283832e-01
-9.480000e+00   1.000000e+00   2.411503e-01
-9.240000e+00   1.000000e+00   2.298903e-01
-9.000000e+00   1.000000e+00   2.755853e-01
-8.760000e+00   1.000000e+00   2.090090e-01
-8.520000e+00   1.000000e+00   1.903614e-01
-8.280000e+00   1.000000e+00   1.995983e-01
-8.040000e+00   1.000000e+00   2.288309e-01
-7.800000e+00   1.000000e+00   2.041943e-01
-7.560000e+00   1.000000e+00   2.170984e-01
-7.320000e+00   1.000000e+00   2.072688e-01
-7.080000e+00   1.000000e+00   1.961473e-01
-6.840000e+00   1.000000e+00   2.322435e-01
-6.600000e+00   1.000000e+00   2.117966e-01
-6.360000e+00   1.000000e+00   2.252015e-01
-6.120000e+00   1.000000e+00   3.071021e-01
-5.880000e+00   1.000000e+00   1.959805e-01
-5.640000e+00   1.000000e+00   2.469290e-01
-5.400000e+00   1.000000e+00   1.810772e-01
-5.160000e+00   1.000000e+00   2.200129e-01
-4.920000e+00   1.000000e+00   2.484089e-01
-4.680000e+00   1.000000e+00   2.188241e-01
-4.440000e+00   1.000000e+00   2.754159e-01
-4.200000e+00   1.000000e+00   2.001628e-01
-3.960000e+00   1.000000e+00   1.940947e-01
-3.720000e+00   1.000000e+00   2.504972e-01
-3.480000e+00   1.000000e+00   2.222008e-01
-3.240000e+00   1.000000e+00   1.962739e-01
-3.000000e+00   1.000000e+00   1.902842e-01
-2.760000e+00   1.000000e+00   2.227243e-01
-2.520000e+00   1.000000e+00   2.892446e-01
-2.280000e+00   1.000000e+00   2.786655e-01
-2.040000e+00   1.000000e+00   2.141005e-01
-1.800000e+00   1.000000e+00   1.893010e-01
-1.560000e+00   1.000000e+00   2.503470e-01
-1.320000e+00   1.000000e+00   2.458862e-01
-1.080000e+00   1.000000e+00   2.250659e-01
-8.400000e-01   1.000000e+00   2.033790e-01
-6.000000e-01   1.000000e+00   2.066962e-01
-3.600000e-01   1.000000e+00   1.827684e-01
-1.200000e-01   7.757861e-01   2.664296e-01
 1.200000e-01   1.000000e+00   2.548441e-01
 3.600000e-01   1.000000e+00   2.609120e-01
 6.000000e-01   1.000000e+00   1.937481e-01
 8.400000e-01   1.000000e+00   2.546856e-01
 1.080000e+00   1.000000e+00   2.605340e-01
 1.320000e+00   1.000000e+00   2.022868e-01
 1.560000e+00   1.000000e+00   2.131453e-01
 1.800000e+00   1.000000e+00   2.595555e-01
 2.040000e+00   1.000000e+00   2.392137e-01
 2.280000e+00   1.000000e+00   1.982172e-01
 2.520000e+00   1.000000e+00   1.940064e-01
 2.760000e+00   1.000000e+00   1.981015e-01
 3.000000e+00   1.000000e+00   2.671517e-01
 3.240000e+00   1.000000e+00   2.150616e-01
 3.480000e+00   1.000000e+00   2.033235e-01
 3.720000e+00   1.000000e+00   2.394454e-01
 3.960000e+00   1.000000e+00   2.755841e-01
 4.200000e+00   1.000000e+00   2.258668e-01
 4.440000e+00   1.000000e+00   2.145907e-01
 4.680000e+00   1.000000e+00   2.420098e-01
 4.920000e+00   1.000000e+00   1.903229e-01
 5.160000e+00   1.000000e+00   2.183048e-01
 5.400000e+00   1.000000e+00   2.350659e-01
 5.640000e+00   1.000000e+00   1.883352e-01
 5.880000e+00   1.000000e+00   1.905393e-01
 6.120000e+00   1.000000e+00   2.462528e-01
 6.360000e+00   1.000000e+00   2.333776e-01
 6.600000e+00   1.000000e+00   2.375418e-01
 6.840000e+00   1.000000e+00   2.020643e-01
 7.080000e+00   1.000000e+00   2.320032e-01
 7.320000e+00   1.000000e+00   2.451034e-01
 7.560000e+00   1.000000e+00   2.279511e-01
 7.800000e+00   1.000000e+00   2.188389e-01
 8.040000e+00   1.000000e+00   1.846765e-01
 8.280000e+00   1.000000e+00   2.375958e-01
 8.520000e+00   1.000000e+00   2.378408e-01
 8.760000e+00   1.000000e+00   1.854167e-01
 9.000000e+00   1.000000e+00   2.189013e-01
 9.240000e+00   1.000000e+00   2.199850e-01
 9.480000e+00   1.000000e+00   2.294512e-01
 9.720000e+00   1.000000e+00   2.156671e-01
 9.960000e+00   1.000000e+00   1.819241e-01
 1.020000e+01   1.000000e+00   2.012531e-01
 1.044000e+01   1.000000e+00   2.188536e-01
 1.068000e+01   1.000000e+00   2.288213e-01
 1.092000e+01   1.000000e+00   2.617494e-01
 1.116000e+01   1.000000e+00   2.099050e-01
 1.140000e+01   1.000000e+00   1.890927e-01
 1.164000e+01   1.000000e+00   2.943785e-01
 1.188000e+01   1.000000e+00   3.328146e-01
 inf   1.000000e+00   2.399102e-02
