th5_x_cms bin centers    value    Error 
-5.928000e-03   4.511290e-03   1.767107e-03
-5.880000e-03   1.696926e-03   5.643843e-04
-5.832000e-03   9.245702e-03   3.254451e-03
-5.784000e-03   4.214699e-03   1.212175e-03
-5.736000e-03   1.965408e-03   7.964300e-04
-5.688000e-03   3.819318e-03   1.002953e-03
-5.640000e-03   3.718226e-03   1.279558e-03
-5.592000e-03   1.542935e-03   4.360923e-04
-5.544000e-03   4.635282e-03   2.285545e-03
-5.496000e-03   2.314336e-03   8.295418e-04
-5.448000e-03   4.271190e-03   1.274805e-03
-5.400000e-03   8.275568e-03   3.012266e-03
-5.352000e-03   2.953183e-03   1.200784e-03
-5.304000e-03   3.491001e-03   1.118171e-03
-5.256000e-03   4.016572e-03   1.598487e-03
-5.208000e-03   4.217915e-03   1.583049e-03
-5.160000e-03   4.950685e-04   1.646386e-04
-5.112000e-03   5.052004e-03   1.527336e-03
-5.064000e-03   2.309040e-03   7.740138e-04
-5.016000e-03   2.903229e-03   7.406214e-04
-4.968000e-03   4.110791e-03   1.307147e-03
-4.920000e-03   1.734735e-03   3.896154e-04
-4.872000e-03   1.923185e-02   1.021942e-02
-4.824000e-03   2.963899e-03   1.074516e-03
-4.776000e-03   5.072899e-03   1.719729e-03
-4.728000e-03   2.580322e-03   6.690122e-04
-4.680000e-03   7.567017e-03   3.229309e-03
-4.632000e-03   1.353425e-03   3.583981e-04
-4.584000e-03   2.063261e-03   6.643013e-04
-4.536000e-03   4.261635e-03   1.971321e-03
-4.488000e-03   2.371362e-03   7.100258e-04
-4.440000e-03   2.277979e-03   7.371743e-04
-4.392000e-03   5.294202e-03   1.719661e-03
-4.344000e-03   3.155323e-03   1.954701e-03
-4.296000e-03   4.857069e-03   2.174537e-03
-4.248000e-03   6.085234e-03   3.078269e-03
-4.200000e-03   1.168007e-03   2.791706e-04
-4.152000e-03   3.735607e-03   8.211361e-04
-4.104000e-03   7.297223e-04   3.773240e-04
-4.056000e-03   1.209764e-03   5.316544e-04
-4.008000e-03   3.135090e-03   8.007042e-04
-3.960000e-03   3.277058e-03   1.001860e-03
-3.912000e-03   8.416359e-04   3.407612e-04
-3.864000e-03   2.247867e-03   8.974082e-04
-3.816000e-03   1.772853e-03   6.181024e-04
-3.768000e-03   3.566887e-03   1.589851e-03
-3.720000e-03   4.732879e-03   1.339884e-03
-3.672000e-03   2.758706e-03   8.334912e-04
-3.624000e-03   1.362338e-03   3.809519e-04
-3.576000e-03   1.617718e-03   9.775772e-04
-3.528000e-03   4.447448e-03   1.420056e-03
-3.480000e-03   2.060318e-03   6.225130e-04
-3.432000e-03   1.045766e-03   5.312006e-04
-3.384000e-03   3.779123e-03   1.483605e-03
-3.336000e-03   1.098345e-03   4.210257e-04
-3.288000e-03   5.839602e-03   2.687362e-03
-3.240000e-03   2.485890e-03   6.615504e-04
-3.192000e-03   5.587752e-03   1.794936e-03
-3.144000e-03   4.713603e-03   1.557572e-03
-3.096000e-03   5.770519e-03   2.463613e-03
-3.048000e-03   2.672127e-03   1.573150e-03
-3.000000e-03   4.218696e-03   1.038108e-03
-2.952000e-03   7.921298e-04   2.831795e-04
-2.904000e-03   3.823933e-03   1.357666e-03
-2.856000e-03   1.921338e-03   4.847084e-04
-2.808000e-03   4.796868e-03   1.582709e-03
