Eph_cms bin centers    value    Error 
 1.279940e+04   2.335687e-08   1.693818e-08
 1.289900e+04   6.883792e-08   4.905381e-08
 1.299860e+04   3.443346e-08   2.767565e-08
 1.309820e+04   3.935657e-08   2.912551e-08
 1.319780e+04   3.540807e-08   2.748477e-08
 1.329740e+04   6.253500e-08   4.424584e-08
 1.339700e+04   1.357390e-09   1.340012e-09
 1.349660e+04   3.781820e-08   2.771795e-08
 1.359620e+04   3.010102e-08   2.244066e-08
 1.369580e+04   3.119413e-08   2.487107e-08
 1.379540e+04   1.450810e-08   1.257308e-08
 1.389500e+04   7.186797e-08   5.102933e-08
 1.399460e+04   6.079518e-10   6.008428e-10
 1.409420e+04   2.727239e-09   2.629734e-09
 1.419380e+04   0.000000e+00   0.000000e+00
 1.429340e+04   1.876738e-08   1.609927e-08
 1.439300e+04   0.000000e+00   0.000000e+00
 1.449260e+04   1.197614e-08   8.475477e-09
 1.459220e+04   3.291835e-09   3.196075e-09
 1.469180e+04   3.968506e-09   3.763150e-09
 1.479140e+04   0.000000e+00   0.000000e+00
 1.489100e+04   4.562350e-08   3.235733e-08
 1.499060e+04   6.267942e-09   5.895443e-09
 1.509020e+04   3.395746e-08   2.595729e-08
 1.518980e+04   5.462248e-08   4.440433e-08
 1.528940e+04   0.000000e+00   0.000000e+00
 1.538900e+04   0.000000e+00   0.000000e+00
 1.548860e+04   5.696544e-09   5.365055e-09
 1.558820e+04   0.000000e+00   0.000000e+00
 1.568780e+04   0.000000e+00   0.000000e+00
 1.578740e+04   9.004516e-08   6.381895e-08
 1.588700e+04   3.682688e-08   2.830825e-08
 1.598660e+04   5.600691e-10   5.572490e-10
 1.608620e+04   0.000000e+00   0.000000e+00
 1.618580e+04   5.654772e-08   4.460994e-08
 1.628540e+04   4.105823e-08   2.906444e-08
 1.638500e+04   4.101011e-08   3.444252e-08
 1.648460e+04   4.569280e-08   3.762283e-08
 1.658420e+04   2.270462e-08   1.720969e-08
 1.668380e+04   1.986922e-08   1.745274e-08
 1.678340e+04   0.000000e+00   0.000000e+00
 1.688300e+04   1.677554e-09   1.636316e-09
 1.698260e+04   0.000000e+00   0.000000e+00
 1.708220e+04   8.538278e-08   6.208248e-08
 1.718180e+04   1.489224e-08   1.210435e-08
 1.728140e+04   4.901383e-09   3.768070e-09
 1.738100e+04   0.000000e+00   0.000000e+00
 1.748060e+04   0.000000e+00   0.000000e+00
 1.758020e+04   1.494607e-08   1.443989e-08
 1.767980e+04   1.655840e-08   1.174817e-08
 1.777940e+04   0.000000e+00   0.000000e+00
 1.787900e+04   2.227096e-08   1.576183e-08
 1.797860e+04   8.854380e-08   6.289904e-08
 1.807820e+04   0.000000e+00   0.000000e+00
 1.817780e+04   4.093351e-09   4.021349e-09
 1.827740e+04   4.137553e-08   3.567037e-08
 1.837700e+04   1.613876e-08   1.266059e-08
 1.847660e+04   0.000000e+00   0.000000e+00
 1.857620e+04   2.353372e-08   2.040034e-08
 1.867580e+04   0.000000e+00   0.000000e+00
 1.877540e+04   1.216744e-10   1.215114e-10
 1.887500e+04   0.000000e+00   0.000000e+00
 1.897460e+04   0.000000e+00   0.000000e+00
 1.907420e+04   0.000000e+00   0.000000e+00
 1.917380e+04   2.891373e-08   2.044547e-08
 1.927340e+04   5.283688e-08   3.843716e-08
 1.937300e+04   0.000000e+00   0.000000e+00
 1.947260e+04   1.804343e-08   1.584943e-08
 1.957220e+04   6.629883e-08   5.028469e-08
 1.967180e+04   0.000000e+00   0.000000e+00
 1.977140e+04   0.000000e+00   0.000000e+00
 1.987100e+04   1.447748e-08   1.323829e-08
 1.997060e+04   4.638538e-09   3.766280e-09
 2.007020e+04   2.005522e-09   1.916422e-09
 2.016980e+04   0.000000e+00   0.000000e+00
 2.026940e+04   2.454077e-08   1.735566e-08
 2.036900e+04   0.000000e+00   0.000000e+00
 2.046860e+04   0.000000e+00   0.000000e+00
 2.056820e+04   1.798502e-08   1.273748e-08
