phi5_x_lab bin centers    value    Error 
-9.816000e-03   3.864186e-03   1.242442e-03
-9.768000e-03   9.788181e-04   3.267512e-04
-9.720000e-03   2.750272e-03   7.849742e-04
-9.672000e-03   4.869603e-03   2.201584e-03
-9.624000e-03   1.678995e-03   6.530940e-04
-9.576000e-03   2.896931e-03   1.016248e-03
-9.528000e-03   4.422696e-03   1.245845e-03
-9.480000e-03   1.247961e-03   7.453943e-04
-9.432000e-03   3.178652e-03   8.921105e-04
-9.384000e-03   3.644244e-03   1.087075e-03
-9.336000e-03   1.603370e-03   6.023127e-04
-9.288000e-03   1.485693e-03   5.636755e-04
-9.240000e-03   6.229871e-03   1.813796e-03
-9.192000e-03   3.540502e-03   1.232928e-03
-9.144000e-03   1.766948e-03   7.275101e-04
-9.096000e-03   7.525497e-04   2.855518e-04
-9.048000e-03   4.326430e-03   1.472411e-03
-9.000000e-03   7.703779e-05   4.175708e-05
-8.952000e-03   7.473331e-04   3.746399e-04
-8.904000e-03   4.532534e-03   1.722558e-03
-8.856000e-03   4.778378e-03   1.555914e-03
-8.808000e-03   5.791494e-04   2.045738e-04
-8.760000e-03   2.356205e-03   7.339634e-04
-8.712000e-03   3.845442e-03   1.005891e-03
-8.664000e-03   1.554453e-03   6.016435e-04
-8.616000e-03   6.982143e-04   2.367630e-04
-8.568000e-03   2.256268e-03   5.123275e-04
-8.520000e-03   2.162322e-03   6.466360e-04
-8.472000e-03   2.482253e-03   7.456333e-04
-8.424000e-03   3.815204e-04   1.246585e-04
-8.376000e-03   2.122316e-03   7.656493e-04
-8.328000e-03   2.253036e-03   7.958723e-04
-8.280000e-03   1.165974e-03   3.645766e-04
-8.232000e-03   5.677438e-03   1.613032e-03
-8.184000e-03   2.983077e-03   7.580451e-04
-8.136000e-03   2.675482e-03   1.004373e-03
-8.088000e-03   3.104663e-03   9.636299e-04
-8.040000e-03   3.132477e-03   9.237338e-04
-7.992000e-03   1.737538e-03   8.045767e-04
-7.944000e-03   6.709402e-03   2.284189e-03
-7.896000e-03   2.063814e-03   6.985850e-04
