x5_lab bin center    K_x5    Error 
-inf   1.000000e+00   2.754269e-02
-1.862250e-01   1.000000e+00   2.853452e-02
-1.766750e-01   1.000000e+00   3.127041e-02
-1.671250e-01   1.000000e+00   3.034365e-02
-1.575750e-01   1.000000e+00   2.926518e-02
-1.480250e-01   1.000000e+00   2.777876e-02
-1.384750e-01   1.000000e+00   2.516533e-02
-1.289250e-01   1.000000e+00   3.018527e-02
-1.193750e-01   1.000000e+00   3.801897e-02
-1.098250e-01   1.000000e+00   2.808103e-02
-1.002750e-01   1.000000e+00   3.124609e-02
-9.072500e-02   1.000000e+00   4.633978e-02
-8.117500e-02   1.000000e+00   2.707028e-02
-7.162500e-02   1.000000e+00   5.028961e-02
-6.207500e-02   1.000000e+00   3.840302e-02
-5.252500e-02   1.000000e+00   3.336203e-02
-4.297500e-02   1.000000e+00   6.680155e-02
-3.342500e-02   1.000000e+00   5.052824e-02
-2.387500e-02   1.000000e+00   2.903277e-02
-1.432500e-02   1.000000e+00   3.473771e-02
-4.775000e-03   7.940337e-01   2.302983e-02
 4.775000e-03   1.000000e+00   3.087383e-02
 1.432500e-02   1.000000e+00   3.358501e-02
 2.387500e-02   1.000000e+00   3.142928e-02
 3.342500e-02   1.000000e+00   3.107058e-02
 4.297500e-02   1.000000e+00   5.259143e-02
 5.252500e-02   1.000000e+00   3.635643e-02
 6.207500e-02   1.000000e+00   5.078475e-02
 7.162500e-02   1.000000e+00   2.494881e-02
 8.117500e-02   1.000000e+00   4.149156e-02
 9.072500e-02   1.000000e+00   2.202939e-02
 1.002750e-01   1.000000e+00   2.217485e-02
 1.098250e-01   1.000000e+00   2.780237e-02
 1.193750e-01   1.000000e+00   3.355318e-02
 1.289250e-01   1.000000e+00   2.232677e-02
 1.384750e-01   1.000000e+00   2.828671e-02
 1.480250e-01   1.000000e+00   2.905784e-02
 1.575750e-01   1.000000e+00   1.799037e-02
 1.671250e-01   1.000000e+00   3.434781e-02
 1.766750e-01   1.000000e+00   3.655416e-02
 1.862250e-01   1.000000e+00   3.293612e-02
 inf   1.000000e+00   2.868437e-02
