Emu_cms bin center    K_Emu    Error 
-inf   1.631944e-02   4.727865e-03
 9.530000e+01   0.000000e+00   0.000000e+00
 9.590000e+01   0.000000e+00   0.000000e+00
 9.650000e+01   0.000000e+00   0.000000e+00
 9.710000e+01   0.000000e+00   0.000000e+00
 9.770000e+01   0.000000e+00   0.000000e+00
 9.830000e+01   0.000000e+00   0.000000e+00
 9.890000e+01   0.000000e+00   0.000000e+00
 9.950000e+01   0.000000e+00   0.000000e+00
 1.001000e+02   0.000000e+00   0.000000e+00
 1.007000e+02   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
