costh3_lab bin center    K_costh3    Error 
-inf   0.000000e+00   0.000000e+00
 9.999980e-01   1.656280e-02   7.927179e-04
 9.999980e-01   1.699926e-02   8.627217e-04
 9.999980e-01   1.661463e-02   7.510151e-04
 9.999980e-01   1.790432e-02   7.662441e-04
 9.999980e-01   1.522244e-02   1.424465e-03
 9.999981e-01   1.561850e-02   7.062876e-04
 9.999981e-01   1.548013e-02   5.781509e-04
 9.999981e-01   1.487400e-02   8.473127e-04
 9.999981e-01   1.598201e-02   8.391648e-04
 9.999981e-01   1.503629e-02   9.409179e-04
 9.999981e-01   1.616452e-02   6.355538e-04
 9.999981e-01   1.605599e-02   6.298696e-04
 9.999981e-01   1.628128e-02   8.472374e-04
 9.999981e-01   1.499632e-02   7.119758e-04
 9.999981e-01   1.563913e-02   6.633352e-04
 9.999982e-01   1.464970e-02   1.169916e-03
 9.999982e-01   1.540606e-02   9.250356e-04
 9.999982e-01   1.561395e-02   6.813146e-04
 9.999982e-01   1.507968e-02   6.636158e-04
 9.999982e-01   1.471000e-02   9.078787e-04
 9.999982e-01   1.551528e-02   6.297518e-04
 9.999982e-01   1.642208e-02   8.968291e-04
 9.999982e-01   1.536151e-02   7.467017e-04
 9.999982e-01   1.611219e-02   7.190298e-04
 9.999982e-01   1.494276e-02   7.319132e-04
 9.999983e-01   1.425051e-02   7.919585e-04
 9.999983e-01   1.478618e-02   6.910128e-04
 9.999983e-01   1.532631e-02   5.488551e-04
 9.999983e-01   1.575546e-02   9.190840e-04
 9.999983e-01   1.523780e-02   6.558043e-04
 9.999983e-01   1.472362e-02   7.430790e-04
 9.999983e-01   1.595406e-02   7.552834e-04
 9.999983e-01   1.445145e-02   5.955616e-04
 9.999983e-01   1.457231e-02   7.338536e-04
 9.999983e-01   1.561438e-02   7.054676e-04
 9.999984e-01   1.518581e-02   6.546749e-04
 9.999984e-01   1.420519e-02   6.954251e-04
 9.999984e-01   1.460692e-02   5.572222e-04
 9.999984e-01   1.402731e-02   6.522275e-04
 9.999984e-01   1.511915e-02   6.289976e-04
 9.999984e-01   1.522704e-02   5.958501e-04
 9.999984e-01   1.540121e-02   6.773664e-04
 9.999984e-01   1.462482e-02   8.871067e-04
 9.999984e-01   1.555282e-02   6.321629e-04
 9.999984e-01   1.549296e-02   4.845084e-04
 9.999985e-01   1.601150e-02   5.259480e-04
 9.999985e-01   1.467843e-02   5.993091e-04
 9.999985e-01   1.476655e-02   4.498991e-04
 9.999985e-01   1.466529e-02   5.486555e-04
 9.999985e-01   1.544219e-02   5.546814e-04
 9.999985e-01   1.469281e-02   7.612509e-04
 9.999985e-01   1.559280e-02   5.942597e-04
 9.999985e-01   1.509761e-02   5.381390e-04
 9.999985e-01   1.557686e-02   4.686498e-04
 9.999985e-01   1.498728e-02   6.742149e-04
 9.999986e-01   1.469646e-02   5.902488e-04
 9.999986e-01   1.534751e-02   5.051459e-04
 9.999986e-01   1.550120e-02   5.916340e-04
 9.999986e-01   1.495557e-02   5.699435e-04
 9.999986e-01   1.531715e-02   6.888184e-04
 9.999986e-01   1.543879e-02   6.376703e-04
 9.999986e-01   1.475332e-02   6.003687e-04
 9.999986e-01   1.540945e-02   5.273623e-04
 9.999986e-01   1.527821e-02   4.537750e-04
 9.999986e-01   1.510036e-02   4.627386e-04
 9.999987e-01   1.540903e-02   7.562464e-04
 9.999987e-01   1.509840e-02   4.690510e-04
 9.999987e-01   1.503298e-02   4.548728e-04
 9.999987e-01   1.505407e-02   4.376589e-04
 9.999987e-01   1.476174e-02   4.498888e-04
 9.999987e-01   1.565309e-02   4.848740e-04
 9.999987e-01   1.436915e-02   3.734477e-04
 9.999987e-01   1.489818e-02   4.277133e-04
 9.999987e-01   1.518141e-02   5.029429e-04
 9.999987e-01   1.467394e-02   3.127974e-04
 9.999988e-01   1.506357e-02   4.586417e-04
 9.999988e-01   1.479160e-02   4.005608e-04
 9.999988e-01   1.439938e-02   4.065642e-04
 9.999988e-01   1.423156e-02   3.852164e-04
 9.999988e-01   1.524574e-02   3.276801e-04
 9.999988e-01   1.547951e-02   4.022900e-04
 9.999988e-01   1.482270e-02   3.427130e-04
 9.999988e-01   1.524415e-02   4.601426e-04
 9.999988e-01   1.512498e-02   4.692019e-04
 9.999988e-01   1.584585e-02   3.251363e-04
 9.999989e-01   1.455008e-02   3.259268e-04
 9.999989e-01   1.512739e-02   6.631006e-04
 9.999989e-01   1.471195e-02   3.772795e-04
 9.999989e-01   1.475491e-02   4.746542e-04
 9.999989e-01   1.505097e-02   3.583566e-04
 9.999989e-01   1.463548e-02   3.856266e-04
 9.999989e-01   1.517931e-02   4.908712e-04
 9.999989e-01   1.490051e-02   3.960542e-04
 9.999989e-01   1.509221e-02   3.860399e-04
 9.999989e-01   1.442335e-02   3.658455e-04
 9.999990e-01   1.468530e-02   3.084676e-04
 9.999990e-01   1.474045e-02   3.336141e-04
 9.999990e-01   1.470930e-02   3.249905e-04
 9.999990e-01   1.461549e-02   3.209088e-04
 9.999990e-01   1.523720e-02   3.748206e-04
 inf   1.155173e-02   9.397250e-07
