phi5_lab bin center    K_phi5    Error 
-inf   0.000000e+00   0.000000e+00
-3.110177e+03   1.000000e+00   4.523514e-01
-3.047345e+03   1.000000e+00   5.448691e-01
-2.984513e+03   1.000000e+00   5.549135e-01
-2.921681e+03   1.000000e+00   5.369355e-01
-2.858849e+03   1.000000e+00   5.956684e-01
-2.796017e+03   1.000000e+00   5.591128e-01
-2.733186e+03   1.000000e+00   5.208482e-01
-2.670354e+03   1.000000e+00   5.748123e-01
-2.607522e+03   1.000000e+00   4.582842e-01
-2.544690e+03   1.000000e+00   5.360214e-01
-2.481858e+03   1.000000e+00   4.393163e-01
-2.419026e+03   1.000000e+00   5.177062e-01
-2.356194e+03   1.000000e+00   4.875639e-01
-2.293363e+03   1.000000e+00   4.751871e-01
-2.230531e+03   1.000000e+00   5.895398e-01
-2.167699e+03   1.000000e+00   5.940208e-01
-2.104867e+03   1.000000e+00   5.287599e-01
-2.042035e+03   1.000000e+00   5.961657e-01
-1.979203e+03   1.000000e+00   5.580205e-01
-1.916372e+03   8.000000e-01   4.636443e-01
-1.853540e+03   1.000000e+00   6.003796e-01
-1.790708e+03   1.000000e+00   5.743143e-01
-1.727876e+03   1.000000e+00   5.965419e-01
-1.665044e+03   1.000000e+00   5.739330e-01
-1.602212e+03   1.000000e+00   5.680080e-01
-1.539380e+03   1.000000e+00   5.496837e-01
-1.476549e+03   1.000000e+00   5.389538e-01
-1.413717e+03   1.000000e+00   5.963892e-01
-1.350885e+03   1.000000e+00   5.346014e-01
-1.288053e+03   8.000000e-01   4.543776e-01
-1.225221e+03   1.000000e+00   5.904105e-01
-1.162389e+03   8.000000e-01   4.756843e-01
-1.099557e+03   1.000000e+00   6.025797e-01
-1.036726e+03   1.000000e+00   5.310749e-01
-9.738937e+02   1.000000e+00   5.432834e-01
-9.110619e+02   1.000000e+00   4.798889e-01
-8.482300e+02   1.000000e+00   4.764042e-01
-7.853982e+02   1.000000e+00   5.610558e-01
-7.225663e+02   1.000000e+00   5.547113e-01
-6.597345e+02   1.000000e+00   4.932982e-01
-5.969026e+02   1.000000e+00   4.399737e-01
-5.340708e+02   1.000000e+00   4.156363e-01
-4.712389e+02   1.000000e+00   4.703633e-01
-4.084070e+02   1.000000e+00   4.224295e-01
-3.455752e+02   1.000000e+00   4.407929e-01
-2.827433e+02   1.000000e+00   5.279830e-01
-2.199115e+02   1.000000e+00   4.346792e-01
-1.570796e+02   1.000000e+00   4.835737e-01
-9.424778e+01   1.000000e+00   3.893531e-01
-3.141593e+01   1.000000e+00   4.705149e-01
 3.141593e+01   1.000000e+00   4.983682e-01
 9.424778e+01   1.000000e+00   5.156498e-01
 1.570796e+02   1.000000e+00   5.166218e-01
 2.199115e+02   1.000000e+00   5.476162e-01
 2.827433e+02   1.000000e+00   5.451609e-01
 3.455752e+02   1.000000e+00   5.433249e-01
 4.084070e+02   1.000000e+00   5.358325e-01
 4.712389e+02   8.000000e-01   5.029560e-01
 5.340708e+02   8.000000e-01   4.820060e-01
 5.969026e+02   8.000000e-01   4.703163e-01
 6.597345e+02   1.000000e+00   5.320304e-01
 7.225663e+02   8.000000e-01   4.653787e-01
 7.853982e+02   8.000000e-01   5.492391e-01
 8.482300e+02   1.000000e+00   5.515680e-01
 9.110619e+02   6.000000e-01   4.241478e-01
 9.738937e+02   1.000000e+00   5.488763e-01
 1.036726e+03   1.000000e+00   5.607768e-01
 1.099557e+03   8.000000e-01   4.893556e-01
 1.162389e+03   8.000000e-01   5.656854e-01
 1.225221e+03   6.000000e-01   4.898979e-01
 1.288053e+03   8.000000e-01   5.576588e-01
 1.350885e+03   4.000000e-01   3.751766e-01
 1.413717e+03   1.000000e+00   5.901378e-01
 1.476549e+03   1.000000e+00   6.134493e-01
 1.539380e+03   8.000000e-01   5.050235e-01
 1.602212e+03   1.000000e+00   4.264518e-01
 1.665044e+03   1.000000e+00   5.432179e-01
 1.727876e+03   1.000000e+00   3.816417e-01
 1.790708e+03   1.000000e+00   4.247054e-01
 1.853540e+03   1.000000e+00   4.336645e-01
 1.916372e+03   1.000000e+00   4.452723e-01
 1.979203e+03   1.000000e+00   4.440525e-01
 2.042035e+03   1.000000e+00   5.153022e-01
 2.104867e+03   1.000000e+00   4.936779e-01
 2.167699e+03   1.000000e+00   4.852702e-01
 2.230531e+03   1.000000e+00   3.724512e-01
 2.293363e+03   1.000000e+00   4.163763e-01
 2.356194e+03   1.000000e+00   4.816232e-01
 2.419026e+03   1.000000e+00   4.278258e-01
 2.481858e+03   1.000000e+00   4.899941e-01
 2.544690e+03   1.000000e+00   4.584203e-01
 2.607522e+03   1.000000e+00   4.324978e-01
 2.670354e+03   1.000000e+00   4.190053e-01
 2.733186e+03   1.000000e+00   4.552512e-01
 2.796017e+03   1.000000e+00   4.865478e-01
 2.858849e+03   1.000000e+00   4.559095e-01
 2.921681e+03   1.000000e+00   4.378097e-01
 2.984513e+03   1.000000e+00   4.397936e-01
 3.047345e+03   1.000000e+00   5.020062e-01
 3.110177e+03   1.000000e+00   4.949920e-01
 inf   0.000000e+00   0.000000e+00
