Emu bin centers    value    Error 
 9.651800e+04   2.737646e-06   9.512152e-08
 9.653000e+04   2.788652e-06   1.132621e-07
 9.654200e+04   2.629159e-06   1.008892e-07
 9.655400e+04   2.555410e-06   9.143054e-08
 9.656600e+04   2.750959e-06   1.291311e-07
 9.657800e+04   2.816336e-06   6.503548e-08
 9.659000e+04   2.917513e-06   1.148107e-07
 9.660200e+04   2.875215e-06   9.027187e-08
 9.661400e+04   2.811248e-06   1.010767e-07
 9.662600e+04   2.550581e-06   9.050376e-08
 9.663800e+04   2.745033e-06   1.086358e-07
 9.665000e+04   2.898489e-06   1.197922e-07
 9.666200e+04   2.692222e-06   9.517427e-08
 9.667400e+04   2.736152e-06   8.836187e-08
 9.668600e+04   2.950146e-06   1.529515e-07
 9.669800e+04   2.788671e-06   1.044393e-07
 9.671000e+04   2.831502e-06   8.035353e-08
 9.672200e+04   2.813312e-06   1.058646e-07
 9.673400e+04   2.950263e-06   1.044398e-07
 9.674600e+04   2.862792e-06   1.147437e-07
 9.675800e+04   2.892941e-06   1.039781e-07
 9.677000e+04   2.860901e-06   1.378041e-07
 9.678200e+04   3.045611e-06   8.927030e-08
 9.679400e+04   2.991769e-06   1.049196e-07
 9.680600e+04   2.859971e-06   8.566559e-08
 9.681800e+04   2.998889e-06   1.144306e-07
 9.683000e+04   2.967730e-06   7.902343e-08
 9.684200e+04   3.217915e-06   1.089187e-07
 9.685400e+04   3.013961e-06   9.133513e-08
 9.686600e+04   3.057562e-06   9.229946e-08
 9.687800e+04   2.803771e-06   6.952204e-08
 9.689000e+04   3.031930e-06   1.288136e-07
 9.690200e+04   2.943448e-06   1.017311e-07
 9.691400e+04   2.968942e-06   1.066736e-07
 9.692600e+04   2.926831e-06   1.140252e-07
 9.693800e+04   3.065936e-06   1.176868e-07
 9.695000e+04   3.123798e-06   6.770060e-08
 9.696200e+04   3.040024e-06   1.035090e-07
 9.697400e+04   3.118220e-06   1.271799e-07
 9.698600e+04   3.297563e-06   1.570011e-07
 9.699800e+04   3.290267e-06   1.039350e-07
 9.701000e+04   3.298841e-06   9.310671e-08
 9.702200e+04   3.047860e-06   1.022702e-07
 9.703400e+04   2.947495e-06   1.056179e-07
 9.704600e+04   3.102692e-06   1.416251e-07
 9.705800e+04   3.234338e-06   1.205940e-07
 9.707000e+04   2.952532e-06   1.043591e-07
 9.708200e+04   3.099496e-06   1.013065e-07
 9.709400e+04   3.163846e-06   1.328490e-07
 9.710600e+04   3.552915e-06   8.375551e-08
 9.711800e+04   3.246382e-06   1.275784e-07
 9.713000e+04   3.468093e-06   1.482005e-07
 9.714200e+04   3.471864e-06   1.145091e-07
 9.715400e+04   3.248955e-06   6.370108e-08
 9.716600e+04   3.316854e-06   7.027762e-08
 9.717800e+04   3.480413e-06   1.519588e-07
 9.719000e+04   3.105661e-06   1.178022e-07
 9.720200e+04   3.385328e-06   8.975559e-08
 9.721400e+04   3.558773e-06   8.318653e-08
 9.722600e+04   3.230786e-06   6.814219e-08
 9.723800e+04   3.304885e-06   1.184064e-07
 9.725000e+04   3.290516e-06   1.044378e-07
 9.726200e+04   3.375485e-06   1.152861e-07
 9.727400e+04   3.522074e-06   1.293732e-07
 9.728600e+04   3.366849e-06   1.247130e-07
 9.729800e+04   3.413146e-06   1.029233e-07
 9.731000e+04   3.423859e-06   1.090429e-07
 9.732200e+04   3.311538e-06   1.079151e-07
 9.733400e+04   3.387847e-06   1.140852e-07
 9.734600e+04   3.412721e-06   1.036615e-07
 9.735800e+04   3.723239e-06   1.209743e-07
 9.737000e+04   3.469350e-06   6.760335e-08
 9.738200e+04   3.682397e-06   1.368935e-07
 9.739400e+04   3.606443e-06   9.239510e-08
 9.740600e+04   3.604622e-06   1.141242e-07
 9.741800e+04   3.559894e-06   1.017442e-07
 9.743000e+04   3.749215e-06   1.259440e-07
 9.744200e+04   3.639827e-06   1.079795e-07
 9.745400e+04   3.653953e-06   1.032129e-07
 9.746600e+04   4.118181e-06   1.326494e-07
 9.747800e+04   3.625215e-06   1.096485e-07
 9.749000e+04   3.759143e-06   1.046312e-07
 9.750200e+04   3.849353e-06   9.783732e-08
 9.751400e+04   3.878368e-06   1.098680e-07
 9.752600e+04   3.826644e-06   1.055408e-07
 9.753800e+04   3.919471e-06   1.362964e-07
 9.755000e+04   3.846962e-06   1.205688e-07
 9.756200e+04   4.000746e-06   1.346805e-07
 9.757400e+04   3.785827e-06   1.023541e-07
 9.758600e+04   3.965019e-06   1.247306e-07
 9.759800e+04   3.895455e-06   1.275388e-07
 9.761000e+04   3.992010e-06   1.498811e-07
 9.762200e+04   4.367461e-06   1.228336e-07
 9.763400e+04   4.030733e-06   1.118152e-07
 9.764600e+04   3.795539e-06   1.429881e-07
 9.765800e+04   4.192125e-06   9.783412e-08
 9.767000e+04   4.293677e-06   1.215928e-07
 9.768200e+04   4.075270e-06   1.484750e-07
 9.769400e+04   4.037706e-06   1.040217e-07
 9.770600e+04   4.141717e-06   7.914340e-08
 9.771800e+04   3.957106e-06   1.145861e-07
