x5_lab bin center    K_x5    Error 
-inf   1.000000e+00   5.914994e-02
-1.862250e-01   1.000000e+00   4.104016e-02
-1.766750e-01   1.000000e+00   2.976018e-02
-1.671250e-01   1.000000e+00   3.632920e-02
-1.575750e-01   1.000000e+00   3.104438e-02
-1.480250e-01   1.000000e+00   3.206324e-02
-1.384750e-01   1.000000e+00   3.325775e-02
-1.289250e-01   1.000000e+00   3.715317e-02
-1.193750e-01   1.000000e+00   2.868004e-02
-1.098250e-01   1.000000e+00   2.912627e-02
-1.002750e-01   1.000000e+00   2.222022e-02
-9.072500e-02   1.000000e+00   3.381864e-02
-8.117500e-02   1.000000e+00   2.785892e-02
-7.162500e-02   1.000000e+00   2.662455e-02
-6.207500e-02   1.000000e+00   2.657854e-02
-5.252500e-02   1.000000e+00   2.484318e-02
-4.297500e-02   1.000000e+00   3.479811e-02
-3.342500e-02   1.000000e+00   2.184334e-02
-2.387500e-02   1.000000e+00   2.730362e-02
-1.432500e-02   1.000000e+00   2.666741e-02
-4.775000e-03   8.009337e-01   2.396779e-02
 4.775000e-03   1.000000e+00   2.893126e-02
 1.432500e-02   1.000000e+00   2.718378e-02
 2.387500e-02   1.000000e+00   2.151492e-02
 3.342500e-02   1.000000e+00   3.243291e-02
 4.297500e-02   1.000000e+00   2.949734e-02
 5.252500e-02   1.000000e+00   3.380465e-02
 6.207500e-02   1.000000e+00   3.004418e-02
 7.162500e-02   1.000000e+00   2.162004e-02
 8.117500e-02   1.000000e+00   2.992774e-02
 9.072500e-02   1.000000e+00   3.212558e-02
 1.002750e-01   1.000000e+00   3.164952e-02
 1.098250e-01   1.000000e+00   3.048139e-02
 1.193750e-01   1.000000e+00   3.951266e-02
 1.289250e-01   1.000000e+00   3.084916e-02
 1.384750e-01   1.000000e+00   3.318216e-02
 1.480250e-01   1.000000e+00   3.186046e-02
 1.575750e-01   1.000000e+00   3.313257e-02
 1.671250e-01   1.000000e+00   4.707453e-02
 1.766750e-01   1.000000e+00   3.411567e-02
 1.862250e-01   1.000000e+00   3.493599e-02
 inf   1.000000e+00   6.119084e-02
